Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Living Space (m²),3-Month Period,Actual Price per m²,Expected Price per m²
2 GROSVENOR STREET ,"Redwood, Christchurch",8051,3,1,2,779.0,103,1950,680.0,2023-04-29,7,False,"$550,000",103,2023Q2,6.601941747572815,5.521858232174306
152 VAGUES ROAD ,"Northcote, Christchurch",8052,3,1,1,713.0,95,1940,660.0,2024-05-13,8,False,"$665,000",95,2024Q2,6.947368421052632,6.2293022367278335
2/3B IAN PLACE ,"Bishopdale, Christchurch",8053,3,1,1,642.0,110,1980,650.0,2024-08-30,58,True,"$495,000",110,2024Q3,5.909090909090909,5.19429559580888
285 SAWYERS ARMS ROAD ,"Bishopdale, Christchurch",8053,3,1,2,642.0,104,1960,650.0,2024-04-21,7,False,"$630,000",104,2024Q2,6.25,5.630023386601974
16 WYCHWOOD CRESCENT ,"Bishopdale, Christchurch",8053,3,1,2,645.0,152,1965,650.0,2024-08-17,7,False,"$740,000",152,2024Q3,4.276315789473684,3.7887399839197977
7 LARCH PLACE ,"Casebrook, Christchurch",8051,3,1,2,807.0,115,1960,650.0,2024-07-06,7,False,"$550,000",115,2024Q3,5.6521739130434785,5.124217481981978
65A VEITCHES ROAD ,"Casebrook, Christchurch",8051,3,1,1,832.0,94,1960,650.0,2024-02-16,19,False,"$630,000",94,2024Q1,6.914893617021277,6.2411527073428354
56A SAWYERS ARMS ROAD ,"Northcote, Christchurch",8052,3,1,1,226.0,104,2019,650.0,2024-08-23,28,True,"$700,000",104,2024Q3,6.25,5.527319830043732
23A FARQUHARS ROAD ,"Redwood, Christchurch",8051,3,1,2,485.0,150,1990,650.0,2024-04-16,7,False,"$690,000",150,2024Q2,4.333333333333333,3.742471247105303
8 LOWRY AVENUE ,"Redwood, Christchurch",8051,3,1,2,590.0,109,1980,650.0,2024-04-21,7,False,"$680,000",109,2024Q2,5.963302752293578,5.372981764598911
82 LOWRY AVENUE ,"Redwood, Christchurch",8051,3,1,1,668.0,100,1975,650.0,2024-09-10,10,True,"$600,000",100,2024Q3,6.5,5.578365517665073
99 REYNOLDS AVENUE ,"Bishopdale, Christchurch",8053,3,1,1,614.0,110,1970,640.0,2024-06-24,19,False,"$590,000",110,2024Q2,5.818181818181818,5.193942402711586
74 SAWYERS ARMS ROAD ,"Northcote, Christchurch",8052,3,1,2,923.0,125,1950,640.0,2024-07-10,7,False,"$730,000",125,2024Q3,5.12,4.705692824588582
36 WINGATE STREET ,"Redwood, Christchurch",8051,3,1,2,766.0,120,1960,640.0,2024-08-01,7,False,"$630,000",120,2024Q3,5.333333333333333,4.880705569714365
28 CLIPPER PLACE ,"Redwood, Christchurch",8051,3,1,2,640.0,114,1960,639.0,2023-06-16,7,False,"$580,000",114,2023Q2,5.605263157894737,5.148800348441218
42 CHEDWORTH AVENUE ,"Bishopdale, Christchurch",8053,3,1,1,794.0,160,1960,620.0,2024-03-05,7,False,"$690,000",160,2024Q1,3.875,3.717858374551601
15 OPAL PLACE ,"Casebrook, Christchurch",8051,3,1,2,642.0,120,1960,620.0,2024-03-18,7,False,"$560,000",120,2024Q1,5.166666666666667,4.880705569714365
7 ROYLEEN STREET ,"Casebrook, Christchurch",8051,3,1,1,607.0,112,1960,620.0,2023-10-21,7,False,"$630,000",112,2023Q4,5.535714285714286,5.192678951795802
69 DUNEDIN STREET ,"Redwood, Christchurch",8051,3,1,2,642.0,110,1955,620.0,2023-05-03,7,False,"$640,000",110,2023Q2,5.636363636363637,5.1859207115565615
41 MOMORANGI CRESCENT ,"Redwood, Christchurch",8051,3,1,2,872.0,109,1950,620.0,2024-06-11,7,False,"$640,000",109,2024Q2,5.6880733944954125,5.345246845903594
28 CHEDWORTH AVENUE ,"Bishopdale, Christchurch",8053,3,1,2,683.0,127,1960,600.0,2024-06-06,7,False,"$680,000",127,2024Q2,4.724409448818897,4.566768045803845
2/7 TIVOLI PLACE ,"Bishopdale, Christchurch",8053,3,1,2,642.0,130,1980,600.0,2024-05-30,23,False,"$600,000",130,2024Q2,4.615384615384615,4.387712672977961
26 ROYLEEN STREET ,"Casebrook, Christchurch",8051,3,1,2,678.0,110,1965,600.0,2023-09-27,7,False,"$570,000",110,2023Q3,5.454545454545454,5.264083838791621
6 CAMDEN STREET ,"Northcote, Christchurch",8052,3,1,1,627.0,100,1950,600.0,2024-03-09,7,False,"$435,000",100,2024Q1,6.0,5.7853715491161335
5 FENCHURCH STREET ,"Northcote, Christchurch",8052,3,1,2,607.0,110,1960,600.0,2024-03-12,7,False,"$600,000",110,2024Q1,5.454545454545454,5.22340991181793
21 HONEYSUCKLE PLACE ,"Northcote, Christchurch",8052,3,1,2,642.0,91,1990,600.0,2023-11-15,23,False,"$570,000",91,2023Q4,6.593406593406593,6.23058004335121
145 LANGDONS ROAD ,"Northcote, Christchurch",8052,3,1,1,495.0,107,1955,600.0,2023-06-23,2,False,"$530,000",107,2023Q2,5.607476635514018,5.353311282085438
63 NORTHCOTE ROAD ,"Northcote, Christchurch",8052,3,1,4,642.0,140,1940,600.0,2024-05-29,7,False,"$780,000",140,2024Q2,4.285714285714286,4.226540237516678
29A DUNBARTON STREET ,"Redwood, Christchurch",8051,3,1,2,832.0,120,1980,600.0,2024-04-08,11,False,"$670,000",120,2024Q2,5.0,4.72777130040355
215 MAIN NORTH ROAD ,"Redwood, Christchurch",8051,3,1,2,588.0,112,1940,600.0,2023-09-20,7,False,"$590,000",112,2023Q3,5.357142857142857,5.2014116485507484
54 MOMORANGI CRESCENT ,"Redwood, Christchurch",8051,3,1,1,541.0,150,1980,600.0,2024-03-06,7,False,"$610,000",150,2024Q1,4.0,3.8244721126379253
59 SARABANDE AVENUE ,"Redwood, Christchurch",8051,3,1,2,620.0,112,1970,600.0,2024-02-01,7,False,"$630,000",112,2024Q1,5.357142857142857,5.176772606280624
28 BARNES ROAD ,"Redwood, Christchurch",8051,3,1,2,642.0,110,1960,595.0,2024-04-22,14,False,"$590,000",110,2024Q2,5.409090909090909,5.22340991181793
54B DUNBARTON STREET ,"Redwood, Christchurch",8051,3,1,2,769.0,110,1985,595.0,2024-03-20,7,False,"$670,000",110,2024Q1,5.409090909090909,5.202781259127925
2/177A GRIMSEYS ROAD ,"Redwood, Christchurch",8051,3,1,1,642.0,110,1970,595.0,2024-07-18,7,False,"$520,000",110,2024Q3,5.409090909090909,5.193942402711586
73 WINGATE STREET ,"Redwood, Christchurch",8051,3,1,2,655.0,103,1960,595.0,2023-04-05,7,False,"$600,000",103,2023Q2,5.776699029126213,5.570129836234186
66 BAINTON STREET ,"Bishopdale, Christchurch",8053,3,1,1,607.0,150,1970,590.0,2024-01-12,7,False,"$670,000",150,2024Q1,3.933333333333333,3.83611562480839
398 HAREWOOD ROAD ,"Bishopdale, Christchurch",8053,3,1,3,809.0,110,1950,590.0,2023-05-11,7,False,"$650,000",110,2023Q2,5.363636363636363,5.27132995076985
9 REYNOLDS AVENUE ,"Bishopdale, Christchurch",8053,3,1,2,627.0,124,1960,590.0,2024-02-20,7,False,"$670,000",124,2024Q1,4.758064516129032,4.664948507427778
50 KIMBERLEY STREET ,"Casebrook, Christchurch",8051,3,1,2,622.0,150,1970,590.0,2024-02-15,7,False,"$690,000",150,2024Q1,3.933333333333333,3.8141417329193446
