Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Living Space (m²),Quarterly Period,Actual Price per m²,Expected Price per m²
1/44 ANTIGUA STREET,"Addington, Christchurch",8024,2,2,1.0,80.0,68.0,2023,550.0,2024-03-01,7.0,False,670000.0,68.0,2024Q1,8.088235294117647,7.786092101385278
3/44 ANTIGUA STREET,"Addington, Christchurch",8024,2,2,1.0,61.0,68.0,2023,500.0,2023-05-17,8.0,False,650000.0,68.0,2023Q2,7.352941176470588,7.576545807523823
6/44 ANTIGUA STREET,"Addington, Christchurch",8024,2,2,1.0,61.0,68.0,2023,515.0,2024-04-09,55.0,False,650000.0,68.0,2024Q2,7.573529411764706,7.576545807523823
1/91 ANTIGUA STREET,"Addington, Christchurch",8024,2,1,2.0,511.0,72.0,2015,480.0,2023-08-02,7.0,False,490000.0,72.0,2023Q3,6.666666666666667,6.624624976886746
1/6 BARRIE STREET,"Addington, Christchurch",8024,2,2,1.0,126.0,72.0,2021,500.0,2023-10-21,7.0,False,660000.0,72.0,2023Q4,6.944444444444445,7.1931573097115615
4/6 BARRIE STREET,"Addington, Christchurch",8024,2,2,1.0,72.0,71.0,2021,500.0,2023-12-05,56.0,False,650000.0,71.0,2023Q4,7.042253521126761,7.274887048305312
4/9 BARRIE STREET,"Addington, Christchurch",8024,2,1,1.0,511.0,100.0,1975,430.0,2023-10-02,7.0,False,485000.0,100.0,2023Q4,4.3,4.774577393354721
1/21 BARRIE STREET,"Addington, Christchurch",8024,2,1,1.0,511.0,95.0,1980,450.0,2024-01-01,7.0,False,465000.0,95.0,2024Q1,4.7368421052631575,5.023485122888804
2/25 BARRIE STREET,"Addington, Christchurch",8024,2,1,1.0,511.0,80.0,1975,460.0,2023-11-10,7.0,False,445000.0,80.0,2023Q4,5.75,5.853975946467349
6/71 BROUGHAM STREET,"Addington, Christchurch",8024,2,1,1.0,511.0,110.0,1990,470.0,2023-12-04,7.0,False,520000.0,110.0,2023Q4,4.2727272727272725,4.559155265391113
5/91 BROUGHAM STREET,"Addington, Christchurch",8024,2,1,1.0,511.0,64.0,1970,420.0,2024-01-27,7.0,False,350000.0,64.0,2024Q1,6.5625,6.68952224017763
