iter	RMSE
0	132.2759882
1	126.3879594
2	120.598683
3	115.1936722
4	110.213435
5	105.438141
6	100.7801023
7	97.14839614
8	92.73525514
9	89.29324961
10	86.32726246
11	83.02276372
12	79.89903365
13	76.80745875
14	74.5104413
15	72.61862607
16	70.02828342
17	67.83446896
18	65.33327624
19	63.05962921
20	60.88374169
21	59.15263355
22	57.65452969
23	55.88721964
24	54.44747512
25	53.27478745
26	51.75527604
27	50.5875132
28	49.37538321
29	48.03927416
30	46.92476755
31	45.87586741
32	45.06923088
33	43.84617293
34	42.94847366
35	41.91738829
36	40.91120878
37	39.92451397
38	39.07042397
39	38.54453662
40	37.59663522
41	36.99462459
42	36.31943499
43	35.78896655
44	35.10222095
45	34.74493677
46	34.37477637
47	33.87904631
48	33.3498734
49	32.68628294
50	32.38052942
51	31.77389969
52	31.19024093
53	30.73020105
54	30.42478716
55	30.00766977
56	29.72024919
57	29.45381743
58	28.95669498
59	28.68860857
60	28.30646398
61	28.04686447
62	27.66367772
63	27.42518671
64	27.13360183
65	26.91465248
66	26.72248649
67	26.51689029
68	26.16641912
69	25.84861938
70	25.52814935
71	25.35996263
72	24.90962065
73	24.6949064
74	24.56750513
75	24.39189415
76	24.03972935
77	23.90673112
78	23.70140658
79	23.43978899
80	23.21402277
81	23.11390789
82	22.94413571
83	22.73905751
84	22.39728242
85	22.23510446
86	21.98809088
87	21.6332751
88	21.35807794
89	21.25699545
90	21.14824343
91	20.92896813
92	20.84817136
93	20.62528955
94	20.28104041
95	20.13677658
96	20.01023112
97	19.59738235
98	19.26672187
99	19.17701194
100	18.89218093
101	18.80484357
102	18.67067845
103	18.57404433
104	18.31264754
105	18.11392906
106	17.91832507
107	17.61887525
108	17.37666148
109	17.28293655
110	17.05867438
111	16.79684431
112	16.48193046
113	16.28371736
114	15.9930418
115	15.84015676
116	15.57309386
117	15.54878626
118	15.29430308
119	15.07763659
120	14.7622719
121	14.51214372
122	14.43716577
123	14.30550858
124	14.13939245
125	14.01772239
126	13.75677059
127	13.60170711
128	13.55577193
129	13.39580301
130	13.1403306
131	12.99519145
132	12.74356973
133	12.5675934
134	12.41891947
135	12.28296765
136	12.14065589
137	12.00819354
138	11.87790874
139	11.7333717
140	11.63100743
141	11.54145803
142	11.48687778
143	11.38913015
144	11.34822929
145	11.27062807
146	11.11709774
147	11.00654926
148	10.87749088
149	10.82932224
150	10.7446316
151	10.63733744
152	10.61837498
153	10.55578475
154	10.43698307
155	10.23680164
156	10.04101744
157	9.902552358
158	9.761445758
159	9.697940508
160	9.584521237
161	9.539871343
162	9.502990041
163	9.419387636
164	9.252336532
165	9.161232213
166	9.098932515
167	9.020134813
168	8.998396478
169	8.902630562
170	8.796478019
171	8.607332398
172	8.530666531
173	8.463419032
174	8.362769409
175	8.231634863
176	8.048388653
177	7.9332107
178	7.829909602
179	7.742050364
180	7.634566462
181	7.564103377
182	7.492125677
183	7.400983139
184	7.34957166
185	7.270276721
186	7.173334509
187	7.123648698
188	7.075462094
189	6.955777522
190	6.929900654
191	6.880735857
192	6.715352882
193	6.631778065
194	6.57671652
195	6.490799578
196	6.399496821
197	6.338294572
198	6.306344374
199	6.231953597
200	6.187223751
201	6.052162895
202	5.996875747
203	5.957208857
204	5.884588493
205	5.763333073
206	5.707874529
207	5.665892763
208	5.633560439
209	5.567164535
210	5.505598841
211	5.396604209
212	5.289938014
213	5.266097773
214	5.190594106
215	5.170095544
216	5.134698497
217	5.076908174
218	5.047522726
219	4.985428045
220	4.94700379
221	4.913319555
222	4.875785715
223	4.840982461
224	4.814232482
225	4.778031292
226	4.76092571
227	4.733871241
228	4.638925695
229	4.614773186
230	4.56091051
231	4.541021679
232	4.5131248
233	4.451347525
234	4.403779607
235	4.391040837
236	4.345951145
237	4.320820165
238	4.291135115
239	4.238094964
240	4.188550006
241	4.160309052
242	4.126133505
243	4.090538983
244	4.042465608
245	4.011199586
246	3.975338788
247	3.915124002
248	3.896226749
249	3.843873514
250	3.823158023
251	3.78340608
252	3.743195194
253	3.713528593
254	3.670575323
255	3.657074911
256	3.621982708
257	3.596384552
258	3.54924606
259	3.520254366
260	3.489380133
261	3.477532097
262	3.463868809
263	3.424111375
264	3.417000047
265	3.399802207
266	3.375771947
267	3.36180102
268	3.304104204
269	3.278972909
270	3.264977568
271	3.252373476
272	3.206835042
273	3.183283006
274	3.151662704
275	3.123813795
276	3.103039278
277	3.084348541
278	3.072467656
279	3.04429242
280	3.021791921
281	2.981890124
282	2.956726951
283	2.944983651
284	2.918523054
285	2.901515938
286	2.876838876
287	2.84979379
288	2.819224037
289	2.795131808
290	2.782284902
291	2.757340964
292	2.714791803
293	2.68473154
294	2.667995566
295	2.657093111
296	2.632768649
297	2.603713886
298	2.589932381
299	2.570729189
300	2.555012202
301	2.543870733
302	2.526816523
303	2.503714274
304	2.492636321
305	2.458021874
306	2.441898782
307	2.397669945
308	2.364633152
309	2.341592703
310	2.334815805
311	2.295570991
312	2.272295949
313	2.261584218
314	2.251144865
315	2.231826631
316	2.214786065
317	2.202508873
318	2.191361567
319	2.172610614
320	2.161058995
321	2.145176019
322	2.132348783
323	2.117671405
324	2.086529519
325	2.080516078
326	2.070451099
327	2.052814243
328	2.033003458
329	2.019957577
330	2.000074234
331	1.98696654
332	1.960724
333	1.956410475
334	1.931882248
335	1.918599705
336	1.906342751
337	1.893885844
338	1.88134413
339	1.874482074
340	1.873156373
341	1.862433505
342	1.846531238
343	1.833488406
344	1.824256724
345	1.801191974
346	1.788299836
347	1.768650277
348	1.756923556
349	1.752373311
350	1.748315181
351	1.743247606
352	1.730211905
353	1.713977719
354	1.69771433
355	1.689899102
356	1.676303853
357	1.661898511
358	1.651057694
359	1.64293353
360	1.634331799
361	1.624796126
362	1.620110666
363	1.614482998
364	1.598248407
365	1.578583756
366	1.569022007
367	1.562416465
368	1.535953954
369	1.522260731
370	1.517898935
371	1.514196659
372	1.499771308
373	1.490298275
374	1.474507491
375	1.471608793
376	1.466219738
377	1.459038101
378	1.450702093
379	1.437781792
380	1.433367562
381	1.428242161
382	1.424849824
383	1.415372751
384	1.400130976
385	1.395005325
386	1.381437523
387	1.368992021
388	1.364969851
389	1.361859246
390	1.346091454
391	1.3378053
392	1.324279878
393	1.311996363
394	1.29281228
395	1.285679533
396	1.27780055
397	1.275671832
398	1.269049726
399	1.256570401
400	1.250123346
401	1.242309133
402	1.228795473
403	1.223318924
404	1.220791793
405	1.213887823
406	1.203463396
407	1.19915289
408	1.19567408
409	1.188671585
410	1.184476472
411	1.174982298
412	1.165075024
413	1.160742567
414	1.155377447
415	1.148671972
416	1.144118999
417	1.13966577
418	1.13050652
419	1.121441196
420	1.107647248
421	1.104701087
422	1.098704614
423	1.092597914
424	1.090585935
425	1.08732566
426	1.077522242
427	1.072579159
428	1.063995742
429	1.057096534
430	1.048813411
431	1.045465151
432	1.040451884
433	1.033264933
434	1.029446557
435	1.017207627
436	1.009748196
437	1.003113898
438	0.9964600906
439	0.9894976182
440	0.9828015825
441	0.9771740298
442	0.967373492
443	0.9649508232
444	0.9540006182
445	0.9484997106
446	0.9447191081
447	0.9427322131
448	0.937094865
449	0.928324905
450	0.9247856799
451	0.9228541306
452	0.9125051384
453	0.9086879562
454	0.9029043018
455	0.8965190408
456	0.8889328369
457	0.8849102022
458	0.882106644
459	0.8797118834
460	0.8625962096
461	0.8585059104
462	0.853198636
463	0.8470299193
464	0.8451035968
465	0.8421187948
466	0.8342600883
467	0.8273294944
468	0.8243800028
469	0.8223406404
470	0.8218266365
471	0.8145976979
472	0.8123619017
473	0.8081717137
474	0.8036471094
475	0.7944737447
476	0.7931811845
477	0.7780701937
478	0.7740633672
479	0.7718486773
480	0.7640576096
481	0.7565263461
482	0.7470908903
483	0.7450716675
484	0.7418434133
485	0.7401069066
486	0.7391914713
487	0.7354158071
488	0.7289695198
489	0.7275722719
490	0.7231702725
491	0.7161041905
492	0.7135534685
493	0.7069703929
494	0.7045379276
495	0.700714679
496	0.6908437598
497	0.6902704661
498	0.6866822356
499	0.682978093
500	0.6756677795
501	0.675351326
502	0.6739240607
503	0.6728925286
504	0.6597649708
505	0.6575461582
506	0.6506908396
507	0.6469526779
508	0.6460459857
509	0.6396230947
510	0.6380403849
511	0.6362590039
512	0.6310540371
513	0.6278790209
514	0.6242251324
515	0.6160208018
516	0.611646377
517	0.6094263597
518	0.6071114732
519	0.6046305862
520	0.5923254331
521	0.5882265079
522	0.5788315234
523	0.5764864682
524	0.5749553528
525	0.5743471873
526	0.5701776439
527	0.5697565615
528	0.5684629269
529	0.564938722
530	0.5591488438
531	0.5549255226
532	0.5529985241
533	0.5514218382
534	0.548973201
535	0.5478949289
536	0.5461164678
537	0.5432408064
538	0.5346070822
539	0.5279064594
540	0.5246589051
541	0.5145920311
