iter	Passed	Remaining
0	52	103808
1	106	104543
2	146	95822
3	190	93407
4	234	91901
5	280	91572
6	333	93232
7	371	90713
8	414	90088
9	458	89473
10	511	90711
11	584	95102
12	628	94345
13	671	93504
14	714	92766
15	757	92182
16	800	91687
17	844	91199
18	887	90759
19	939	91227
20	988	91377
21	1058	93357
22	1104	93198
23	1147	92702
24	1189	92248
25	1233	91884
26	1277	91622
27	1328	91840
28	1374	91658
29	1432	92276
30	1491	92939
31	1558	94030
32	1614	94436
33	1658	94116
34	1716	94536
35	1766	94547
36	1825	95014
37	1882	95380
38	1933	95383
39	1992	95787
40	2042	95764
41	2094	95820
42	2168	96821
43	2213	96539
44	2261	96407
45	2310	96301
46	2359	96184
47	2431	97003
48	2496	97512
49	2547	97456
50	2606	97728
51	2695	99072
52	2741	98780
53	2784	98421
54	2841	98559
55	2891	98449
56	2936	98193
57	2980	97901
58	3030	97787
59	3081	97744
60	3128	97544
61	3176	97406
62	3227	97333
63	3289	97592
64	3348	97775
65	3391	97489
66	3436	97240
67	3481	97010
68	3529	96895
69	3590	97105
70	3663	97636
71	3731	97999
72	3785	98002
73	3862	98600
74	3907	98366
75	3953	98149
76	3998	97936
77	4058	98091
78	4110	98020
79	4185	98519
80	4248	98706
81	4293	98492
82	4357	98696
83	4415	98765
84	4481	99012
85	4538	99064
86	4622	99684
87	4688	99902
88	4742	99859
89	4786	99609
90	4830	99365
91	4895	99562
92	4939	99318
93	4995	99322
94	5056	99425
95	5100	99195
96	5159	99253
97	5214	99228
98	5278	99377
99	5342	99521
100	5390	99382
101	5448	99406
102	5496	99262
103	5541	99047
104	5594	98995
105	5666	99268
106	5718	99189
107	5778	99243
108	5825	99081
109	5869	98879
110	5915	98699
111	5964	98567
112	6009	98380
113	6053	98176
114	6100	98027
115	6162	98125
116	6212	98024
117	6263	97940
118	6331	98107
119	6375	97921
120	6419	97718
121	6462	97526
122	6529	97681
123	6585	97660
124	6643	97681
125	6698	97659
126	6790	98163
127	6853	98255
128	6916	98325
129	6962	98166
130	7005	97975
131	7054	97857
132	7123	98010
133	7177	97973
134	7251	98188
135	7326	98424
136	7386	98449
137	7445	98468
138	7501	98441
139	7546	98264
140	7590	98090
141	7634	97910
142	7679	97745
143	7744	97833
144	7805	97859
145	7851	97717
146	7899	97584
147	7962	97647
148	8022	97673
149	8067	97513
150	8113	97360
151	8157	97196
152	8202	97040
153	8248	96898
154	8293	96738
155	8338	96588
156	8390	96517
157	8462	96670
158	8515	96614
159	8577	96654
160	8642	96727
161	8701	96741
162	8756	96700
163	8802	96557
164	8847	96412
165	8894	96286
166	8945	96207
167	9011	96288
168	9063	96208
169	9109	96076
170	9154	95939
171	9200	95799
172	9256	95779
173	9318	95811
174	9375	95793
175	9436	95810
176	9497	95835
177	9543	95706
178	9592	95602
179	9636	95450
180	9680	95310
181	9724	95162
182	9783	95165
183	9827	95015
184	9870	94864
185	9914	94724
186	9998	94959
187	10042	94816
188	10085	94669
189	10161	94825
190	10218	94801
191	10265	94687
192	10316	94616
193	10359	94467
194	10402	94313
195	10449	94206
196	10494	94077
197	10537	93936
198	10581	93799
199	10628	93690
200	10685	93673
201	10760	93808
202	10813	93754
203	10872	93744
204	10926	93699
205	10987	93711
206	11062	93840
207	11109	93735
208	11155	93620
209	11201	93507
210	11267	93557
211	11322	93519
212	11366	93383
213	11408	93243
214	11453	93123
215	11509	93091
216	11567	93074
217	11625	93059
218	11685	93058
219	11745	93055
220	11798	92997
221	11847	92914
222	11893	92803
223	11953	92796
224	12017	92831
225	12077	92825
226	12134	92802
227	12184	92718
228	12254	92794
229	12331	92911
230	12385	92861
231	12429	92737
232	12472	92610
233	12517	92489
234	12562	92372
235	12606	92254
236	12654	92156
237	12709	92117
238	12759	92037
239	12826	92086
240	12901	92182
241	12944	92057
242	12995	91981
243	13053	91962
244	13114	91958
245	13159	91848
246	13231	91922
247	13300	91977
248	13348	91884
249	13404	91847
250	13447	91723
251	13514	91761
252	13560	91654
253	13603	91531
254	13650	91433
255	13697	91331
256	13741	91215
257	13790	91133
258	13840	91056
259	13884	90944
