Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value
2 GROSVENOR STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,779,103,1950,680,29-Apr-23,7,FALSE,"$550,000"
152 VAGUES ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,713,95,1940,660,13-May-24,8,FALSE,"$665,000"
2/3B IAN PLACE ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1,-,110,1980,650,30-Aug-24,58,TRUE,"$495,000"
285 SAWYERS ARMS ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,642,104,1960,650,21-Apr-24,7,FALSE,"$630,000"
16 WYCHWOOD CRESCENT ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,645,152,1965,650,17-Aug-24,7,FALSE,"$740,000"
7 LARCH PLACE ,"CASEBROOK, CHRISTCHURCH",8051,3,1,2,807,115,1960,650,6-Jul-24,7,FALSE,"$550,000"
65A VEITCHES ROAD ,"CASEBROOK, CHRISTCHURCH",8051,3,1,1,832,94,1960,650,16-Feb-24,19,FALSE,"$630,000"
56A SAWYERS ARMS ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,226,104,2019,650,23-Aug-24,28,TRUE,"$700,000"
23A FARQUHARS ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,485,150,1990,650,16-Apr-24,7,FALSE,"$690,000"
8 LOWRY AVENUE ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,590,109,1980,650,21-Apr-24,7,FALSE,"$680,000"
82 LOWRY AVENUE ,"REDWOOD, CHRISTCHURCH",8051,3,1,1,668,100,1975,650,10-Sep-24,10,TRUE,"$600,000"
99 REYNOLDS AVENUE ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1,614,110,1970,640,24-Jun-24,19,FALSE,"$590,000"
74 SAWYERS ARMS ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,923,125,1950,640,10-Jul-24,7,FALSE,"$730,000"
36 WINGATE STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,766,120,1960,640,1-Aug-24,7,FALSE,"$630,000"
28 CLIPPER PLACE ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,640,114,1960,639,16-Jun-23,7,FALSE,"$580,000"
42 CHEDWORTH AVENUE ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1,794,160,1960,620,5-Mar-24,7,FALSE,"$690,000"
15 OPAL PLACE ,"CASEBROOK, CHRISTCHURCH",8051,3,1,2,642,120,1960,620,18-Mar-24,7,FALSE,"$560,000"
7 ROYLEEN STREET ,"CASEBROOK, CHRISTCHURCH",8051,3,1,1,607,112,1960,620,21-Oct-23,7,FALSE,"$630,000"
69 DUNEDIN STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,-,110,1955,620,3-May-23,7,FALSE,"$640,000"
41 MOMORANGI CRESCENT ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,872,109,1950,620,11-Jun-24,7,FALSE,"$640,000"
28 CHEDWORTH AVENUE ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,683,127,1960,600,6-Jun-24,7,FALSE,"$680,000"
2/7 TIVOLI PLACE ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,2,-,130,1980,600,30-May-24,23,FALSE,"$600,000"
26 ROYLEEN STREET ,"CASEBROOK, CHRISTCHURCH",8051,3,1,2,678,110,1965,600,27-Sep-23,7,FALSE,"$570,000"
6 CAMDEN STREET ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,627,100,1950,600,9-Mar-24,7,FALSE,"$435,000"
5 FENCHURCH STREET ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,607,110,1960,600,12-Mar-24,7,FALSE,"$600,000"
21 HONEYSUCKLE PLACE ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,2,-,91,1990,600,15-Nov-23,23,FALSE,"$570,000"
145 LANGDONS ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1,495,107,1955,600,23-Jun-23,2,FALSE,"$530,000"
63 NORTHCOTE ROAD ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,4,"1,024",140,1940,600,29-May-24,7,FALSE,"$780,000"
29A DUNBARTON STREET ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,832,120,1980,600,8-Apr-24,11,FALSE,"$670,000"
215 MAIN NORTH ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,2,588,112,1940,600,20-Sep-23,7,FALSE,"$590,000"
