Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value
135 QUEENSPARK DRIVE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,730,120,1970,695,23-Oct-24,7,False,"$580,000","$345,000"
1/4B WICHITA PLACE ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,-,170,1980,680,7-Sep-24,7,False,"$680,000","$245,000"
128A INWOODS CLOSE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,86,1980,675,19-Nov-24,7,False,"$520,000","$265,000"
9C KIRNER STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,942,99,1960,650,3-Jun-23,15,False,"$660,000","$365,000"
57 LAKEWOOD DRIVE ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,594,200,1990,650,27-Aug-24,30,False,"$700,000","$370,000"
4 DAYTONA PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,605,103,1970,650,19-Mar-24,7,False,"$530,000","$355,000"
5 INGRID STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,571,120,1970,650,17-Oct-23,7,False,"$590,000","$315,000"
75 INWOODS ROAD ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,488,132,1970,650,19-Apr-24,7,False,"$580,000","$305,000"
100 QUEENSPARK DRIVE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,605,177,1980,650,2-Mar-24,7,False,"$530,000","$345,000"
56 ROYAL PARK DRIVE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,637,140,1970,650,31-Jul-23,7,False,"$600,000","$335,000"
26 KIRNER STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,3,612,103,1960,640,5-Jun-24,7,False,"$680,000","$355,000"
1 NEDERLAND AVENUE ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,-,160,1990,640,6-Nov-24,7,False,"$770,000","$410,000"
2/126B INWOODS CLOSE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,90,1980,640,10-Sep-24,8,False,"$540,000","$265,000"
461 MAIREHAU ROAD ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,615,110,1970,640,31-Oct-24,7,False,"$600,000","$330,000"
1/45 REGINALD STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,-,706,170,1980,630,15-Jul-24,7,False,-,-
26 COTTONWOOD STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,622,94,1970,630,4-Sep-24,7,False,"$520,000","$380,000"
50 NIVEN STREET ,"AVONDALE, CHRISTCHURCH",8061,3,1,2,615,124,1960,620,5-Nov-24,7,False,"$300,000","$270,000"
25C PARNWELL STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,519,132,2000,620,22-Mar-24,7,False,"$570,000","$320,000"
3 WEDMORE CLOSE ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,507,191,2000,620,19-Dec-24,27,True,"$720,000","$305,000"
26 HEATHGLEN AVENUE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,685,84,1980,620,1-Jul-24,7,False,"$570,000","$345,000"
243 QUEENSPARK DRIVE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,600,110,1980,620,23-Nov-24,5,False,"$590,000","$350,000"
224 MAIREHAU ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,610,93,1960,610,20-Aug-24,35,False,"$580,000","$365,000"
35 EGLINTON STREET ,"AVONDALE, CHRISTCHURCH",8061,3,1,2,607,120,1970,600,25-Jun-24,7,False,"$530,000","$265,000"
115 WAINONI ROAD ,"AVONDALE, CHRISTCHURCH",8061,3,1,2,612,123,1950,600,23-Apr-24,7,False,"$550,000","$245,000"
18A CARLSEN STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,1,-,111,1950,600,17-Jan-23,7,False,"$600,000","$230,000"
25F PARNWELL STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,509,147,2000,600,24-Apr-24,7,False,"$600,000","$320,000"
64 COOPERS ROAD ,"DALLINGTON, CHRISTCHURCH",8061,3,1,2,607,120,1960,600,6-May-24,7,False,"$550,000","$270,000"
28 COTTONWOOD STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,612,100,1970,600,15-May-24,7,False,"$550,000","$380,000"
6A PORTNALL PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,880,114,1970,600,14-May-24,7,False,"$570,000","$345,000"
48 RADIATA AVENUE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,625,120,1990,600,13-Sep-24,59,False,"$590,000","$335,000"
34 PEMBROKE STREET ,"AVONDALE, CHRISTCHURCH",8061,3,1,1,723,101,1950,595,21-Feb-24,7,False,"$530,000","$235,000"
11 PEMBROKE STREET ,"AVONDALE, CHRISTCHURCH",8061,3,1,2,721,110,1950,590,4-May-24,7,False,"$570,000","$245,000"
97A BASSETT STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,1,-,90,1940,590,23-May-23,7,False,"$440,000","$220,000"
17 YELLOWSTONE CRESCENT ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,597,170,1970,590,29-Nov-24,7,False,"$680,000","$380,000"
55 ASHWOOD STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,619,110,1970,590,20-Dec-24,26,True,"$540,000","$315,000"
2 BOLERO PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,610,110,1970,590,20-Jul-23,14,False,"$560,000","$430,000"
341A BURWOOD ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,-,160,1990,585,30-Oct-24,92,False,"$650,000","$350,000"
20 WARATAH STREET ,"AVONDALE, CHRISTCHURCH",8061,3,1,2,612,134,1960,580,26-Jun-23,7,False,"$540,000","$315,000"
43 WOOLLEY STREET ,"AVONDALE, CHRISTCHURCH",8061,3,1,2,642,133,1970,580,5-Apr-24,7,False,"$590,000","$270,000"
54 WOOLLEY STREET ,"AVONDALE, CHRISTCHURCH",8061,3,1,2,622,140,1970,580,2-Aug-23,7,False,"$355,000","$270,000"
195 BURWOOD ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,610,120,1960,580,5-Jul-24,7,False,"$590,000","$335,000"
13 LAKE TERRACE ROAD ,"BURWOOD, CHRISTCHURCH",8061,3,1,1,604,132,1970,580,13-Mar-24,7,False,"$590,000","$300,000"
61 COOPERS ROAD ,"DALLINGTON, CHRISTCHURCH",8061,3,1,1,812,100,1940,580,4-Nov-24,19,False,"$590,000","$270,000"
63 BAYNES STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,1,622,110,1960,579,2-Nov-24,7,False,"$570,000","$330,000"
4 RONALD GEORGE PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,650,160,1990,579,4-Nov-24,7,False,"$620,000","$355,000"
2/9C LYDBURY PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,100,1970,575,27-Jun-24,7,False,"$485,000","$250,000"
18 HORTON PLACE ,"AVONDALE, CHRISTCHURCH",8061,3,1,-,607,110,1960,570,27-Oct-24,22,False,"$530,000","$230,000"
39 ASHWOOD STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,628,112,1970,570,22-Jul-23,7,False,"$520,000","$335,000"
40 ASHWOOD STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,590,110,1970,570,5-Jul-23,2,False,"$460,000","$335,000"
19 LAMORNA ROAD ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,611,121,1970,570,15-May-24,7,False,"$540,000","$345,000"
18 TAMARISK PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,618,109,1970,569,24-Jan-23,7,False,"$540,000","$305,000"
149 WAINONI ROAD ,"AVONDALE, CHRISTCHURCH",8061,3,1,2,769,105,1950,560,10-Aug-24,7,False,"$500,000","$250,000"
7 EDWINS WAY ,"BURWOOD, CHRISTCHURCH",8083,3,1,-,-,90,1990,560,17-Oct-24,7,False,"$530,000","$220,000"
24 KIRNER STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,1,612,100,1960,560,17-May-23,7,False,"$590,000","$355,000"
20 TRAVIS ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,3,809,135,1950,560,25-May-23,7,False,"$690,000","$320,000"
1/14A BRANKSOME PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,102,1970,560,11-Jan-24,7,False,"$430,000","$250,000"
2/23 BRANKSOME PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,-,103,1970,560,21-Aug-24,23,False,"$415,000","$250,000"
15 CHADBURY STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1,657,94,1980,560,13-Nov-24,7,False,"$530,000","$305,000"
28 ROYAL PARK DRIVE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,2,599,101,1975,560,22-Jul-23,7,False,"$540,000","$315,000"
52 WOOLLEY STREET ,"AVONDALE, CHRISTCHURCH",8061,3,1,2,607,110,1970,550,20-Jun-23,7,False,"$520,000","$270,000"
53 BAYNES STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,2,617,111,1960,550,16-Dec-24,30,False,"$570,000","$330,000"
