Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value
9 BAKER STREET ,"NEW BRIGHTON, CHRISTCHURCH",8083,3,1,1,453,81,1920,470.0,19-Nov-21,7,False,485000.0,235000.0
1/22 BAKER STREET ,"NEW BRIGHTON, CHRISTCHURCH",8083,2,1,1,-,90,1980,480.0,09-Jan-23,7,False,425000.0,220000.0
2/22 BAKER STREET ,"NEW BRIGHTON, CHRISTCHURCH",8083,2,1,1,-,90,1980,450.0,31-Jan-22,7,False,425000.0,220000.0
24 BAKER STREET ,"NEW BRIGHTON, CHRISTCHURCH",8083,3,1,2,510,80,1920,620.0,29-Nov-23,7,False,545000.0,285000.0
34 BAKER STREET ,"NEW BRIGHTON, CHRISTCHURCH",8083,3,2,2,562,112,2015,450.0,29-Jun-20,7,False,670000.0,275000.0
40 BAKER STREET ,"NEW BRIGHTON, CHRISTCHURCH",8083,2,1,1,506,84,1920,440.0,17-Aug-22,7,False,540000.0,260000.0
51 BAKER STREET ,"NEW BRIGHTON, CHRISTCHURCH",8083,2,1,2,837,113,2015,480.0,29-Nov-22,7,False,580000.0,285000.0
69 BAKER STREET ,"NEW BRIGHTON, CHRISTCHURCH",8083,3,2,2,501,176,2010,475.0,27-Feb-20,7,False,700000.0,255000.0
9 BELLAMY AVENUE ,"NEW BRIGHTON, CHRISTCHURCH",8061,2,1,2,581,80,1920,330.0,05-Aug-20,7,False,440000.0,240000.0
67A BERESFORD STREET ,"NEW BRIGHTON, CHRISTCHURCH",8061,3,2,1,172,137,2000,550.0,12-Dec-24,73,False,490000.0,175000.0
95 BERESFORD STREET ,"NEW BRIGHTON, CHRISTCHURCH",8061,2,1,2,554,102,1940,450.0,11-Apr-21,7,False,550000.0,275000.0
3/117 BERESFORD STREET ,"NEW BRIGHTON, CHRISTCHURCH",8061,2,1,1,-,60,1975,360.0,01-May-21,2,False,400000.0,210000.0
5 BLAKE STREET ,"NEW BRIGHTON, CHRISTCHURCH",8061,3,1,1,546,92,1950,500.0,01-Nov-21,7,False,560000.0,315000.0
