Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value
16 BRADSHAW TERRACE ,"RICCARTON, CHRISTCHURCH",8011,4,2,2,852,170,1950,"1,260",25-Sep-24,7,False,"$930,000","$900,000"
53 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,412,100,1920,"1,249",9-Aug-24,7,False,"$680,000","$660,000"
7 PALAZZO LANE ,"RICCARTON, CHRISTCHURCH",8011,4,3,2,523,270,1990,"1,200",28-Sep-24,7,False,"$1,250,000","$680,000"
7 STRAVEN ROAD ,"RICCARTON, CHRISTCHURCH",8011,4,2,1,561,190,1950,"1,125",5-Oct-24,7,False,"$895,000","$860,000"
11B MATAI STREET EAST ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,303,205,2020,"1,100",1-Oct-24,6,False,"$1,445,000","$580,000"
2/104 MANDEVILLE STREET ,"RICCARTON, CHRISTCHURCH",8011,5,2,2,333,140,1995,"1,050",18-Mar-24,7,False,"$660,000","$380,000"
116 CLARENCE STREET ,"RICCARTON, CHRISTCHURCH",8011,5,2,2,324,114,1995,"1,000",22-Jul-24,7,False,"$680,000","$380,000"
14A ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,3,427,149,2004,"1,000",2-Oct-24,7,False,"$820,000","$460,000"
29 ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,1,273,167,2005,"1,000",19-Aug-24,7,False,"$840,000","$340,000"
31 ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8041,5,2,1,306,167,2005,"1,000",22-Jul-24,7,False,"$860,000","$360,000"
31 PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,1,187,144,2006,975,18-Jul-24,7,False,"$710,000","$305,000"
12 JOHN BRITTEN LANE ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,191,189,2019,960,27-Nov-24,16,True,"$1,360,000","$540,000"
21 BARTLETT STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,2,233,159,2000,950,27-Nov-24,293,True,"$830,000","$425,000"
4/85 BROCKWORTH PLACE ,"RICCARTON, CHRISTCHURCH",8011,3,3,1,232,143,2021,950,16-Jul-24,313,False,"$780,000","$380,000"
31A DARVEL STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,219,158,2000,950,5-Sep-24,7,False,"$820,000","$510,000"
