Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value
12/14 ACHERON DRIVE ,"RICCARTON, CHRISTCHURCH",8041,2,-,2,-,263,1999,45000yar,8-Nov-24,72,False,"$660,000","$200,000"
14/14 ACHERON DRIVE ,"RICCARTON, CHRISTCHURCH",8041,2,-,2,-,140,1999,17000yar,14-Dec-23,7,False,"$500,000","$127,000"
9 HARAKEKE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,2,2,-,232,1940,2500,11-Jan-24,25,False,"$1,000,000","$580,000"
6A TONGA PLACE ,"RICCARTON, CHRISTCHURCH",8041,5,6,1,391,133,2016,1380,28-Aug-24,23,False,"$800,000","$325,000"
55 STRAVEN ROAD ,"RICCARTON, CHRISTCHURCH",8011,4,2,2,946,238,1940,1300,29-Mar-24,66,False,"$1,210,000","$1,110,000"
21 PIKO CRESCENT ,"RICCARTON, CHRISTCHURCH",8041,3,1,2,759,100,1940,1295,10-Sep-24,7,False,"$650,000","$530,000"
2 TIKA STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,2,779,310,2020,1290,20-Jul-24,7,False,"$1,730,000","$590,000"
16 BRADSHAW TERRACE ,"RICCARTON, CHRISTCHURCH",8011,4,2,2,852,170,1950,1260,25-Sep-24,7,False,"$930,000","$900,000"
29 EUSTON STREET ,"RICCARTON, CHRISTCHURCH",8041,1,4,-,913,545,2015,1260,28-Feb-24,17,False,"$2,190,000","$640,000"
53 PICTON AVENUE ,"RICCARTON, CHRISTCHURCH",8011,3,1,1,412,100,1920,1249,9-Aug-24,7,False,"$680,000","$660,000"
7 PALAZZO LANE ,"RICCARTON, CHRISTCHURCH",8011,4,3,2,523,270,1990,1200,28-Sep-24,7,False,"$1,250,000","$680,000"
87 RATTRAY STREET ,"RICCARTON, CHRISTCHURCH",8041,2,2,1,627,120,1930,1200,13-Aug-23,7,False,"$830,000","$600,000"
5/57 MATIPO STREET ,"RICCARTON, CHRISTCHURCH",8041,5,5,1,133,134,2015,1195,25-Nov-24,13,True,"$760,000","$245,000"
2 KAWAKA STREET ,"RICCARTON, CHRISTCHURCH",8041,4,1,1,751,121,1940,1180,28-Oct-24,32,False,"$880,000","$560,000"
75 HINAU STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,2,809,150,1920,1150,26-Jul-24,7,False,"$1,180,000","$1,050,000"
6/57 MATIPO STREET ,"RICCARTON, CHRISTCHURCH",8041,5,5,1,137,134,2015,1150,14-Nov-23,7,False,"$760,000","$200,000"
53 PEVEREL STREET ,"RICCARTON, CHRISTCHURCH",8041,5,3,2,441,240,1920,1150,4-Aug-23,3,False,"$890,000","$620,000"
19 TIKA STREET ,"RICCARTON, CHRISTCHURCH",8041,4,6,2,711,140,1940,1140,26-Jul-24,7,False,"$980,000","$520,000"
7 STRAVEN ROAD ,"RICCARTON, CHRISTCHURCH",8011,4,2,1,561,190,1950,1125,5-Oct-24,7,False,"$895,000","$860,000"
4/57 MATIPO STREET ,"RICCARTON, CHRISTCHURCH",8041,5,5,1,163,134,2015,1120,10-Aug-23,7,False,"$770,000","$255,000"
200 BLENHEIM ROAD ,"RICCARTON, CHRISTCHURCH",8041,4,1,2,696,140,1940,1110,6-Aug-24,7,False,"$660,000","$495,000"
4 KAHIKATEA LANE ,"RICCARTON, CHRISTCHURCH",8011,4,1,2,732,268,2000,1100,19-Jan-23,7,False,"$1,980,000","$1,570,000"
11 KERERU LANE ,"RICCARTON, CHRISTCHURCH",8011,5,1,3,719,326,2000,1100,25-Nov-24,13,True,"$1,790,000","$1,250,000"
11B MATAI STREET EAST ,"RICCARTON, CHRISTCHURCH",8011,3,2,1,303,205,2020,1100,1-Oct-24,6,False,"$1,445,000","$580,000"
11 DALLAS STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,1,"1,012",187,1930,1090,19-Sep-23,7,False,"$1,240,000","$1,120,000"
2/5 TARA STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,-,-,130,1950,1080,21-Aug-24,7,False,"$540,000","$270,000"
1/116 ELIZABETH STREET ,"RICCARTON, CHRISTCHURCH",8041,5,1,-,301,102,1940,1050,30-Jul-24,7,False,"$600,000","$370,000"
