Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value
1/44 ANTIGUA STREET,"Addington, Christchurch",8024,2,2,1,80,68,2023,550,3/01/2024,7,FALSE,670000
3/44 ANTIGUA STREET,"Addington, Christchurch",8024,2,2,1,61,68,2023,500,17/05/2023,8,FALSE,650000
6/44 ANTIGUA STREET,"Addington, Christchurch",8024,2,2,1,61,68,2023,515,4/09/2024,55,FALSE,650000
1/91 ANTIGUA STREET,"Addington, Christchurch",8024,2,1,2,511,72,2015,480,8/02/2023,7,FALSE,490000
1/6 BARRIE STREET,"Addington, Christchurch",8024,2,2,1,126,72,2021,500,21/10/2023,7,FALSE,660000
4/6 BARRIE STREET,"Addington, Christchurch",8024,2,2,1,72,71,2021,500,12/05/2023,56,FALSE,650000
4/9 BARRIE STREET,"Addington, Christchurch",8024,2,1,1,511,100,1975,430,10/02/2023,7,FALSE,485000
1/21 BARRIE STREET,"Addington, Christchurch",8024,2,1,1,511,95,1980,450,1/01/2024,7,FALSE,465000
2/25 BARRIE STREET,"Addington, Christchurch",8024,2,1,1,511,80,1975,460,11/10/2023,7,FALSE,445000
6/71 BROUGHAM STREET,"Addington, Christchurch",8024,2,1,1,511,110,1990,470,12/04/2023,7,FALSE,520000
5/91 BROUGHAM STREET,"Addington, Christchurch",8024,2,1,1,511,64,1970,420,27/01/2024,7,FALSE,350000
3/100 BROUGHAM STREET,"Addington, Christchurch",8024,2,1,1,511,68,1970,420,7/05/2023,7,FALSE,320000
2/101 BROUGHAM STREET,"Addington, Christchurch",8024,2,1,1,511,90,1975,450,20/05/2023,7,FALSE,420000
1/109 BROUGHAM STREET,"Addington, Christchurch",8024,2,1,4,855,340,1974,430,29/07/2023,7,FALSE,650000
3/109 BROUGHAM STREET,"Addington, Christchurch",8024,2,1,1,511,70,1975,390,22/03/2024,7,FALSE,370000
10 BURKE STREET,"Addington, Christchurch",8024,2,2,1,152,94,2023,600,19/03/2024,7,FALSE,680000
6/12 BURKE STREET,"Addington, Christchurch",8024,2,1,1,86,74,2023,520,29/07/2023,8,FALSE,660000
81A BURKE STREET,"Addington, Christchurch",8024,2,1,1,152,87,2010,520,18/09/2023,7,FALSE,530000
37A CARDIGAN BAY PLACE,"Addington, Christchurch",8024,2,1,2,511,130,1990,469,22/03/2024,7,FALSE,570000
6 CHATHAM STREET,"Addington, Christchurch",8024,2,1,1,249,104,2013,495,5/12/2023,7,FALSE,560000
2/9 CHATHAM STREET,"Addington, Christchurch",8024,2,2,1,97,68,2024,540,19/03/2024,8,FALSE,590000
3/9 CHATHAM STREET,"Addington, Christchurch",8024,2,2,1,97,68,2024,540,13/03/2024,8,FALSE,590000
4/9 CHATHAM STREET,"Addington, Christchurch",8024,2,2,1,97,68,2024,540,3/06/2024,7,FALSE,590000
5/9 CHATHAM STREET,"Addington, Christchurch",8024,2,2,1,147,68,2024,545,3/06/2024,7,FALSE,600000
19B CHATHAM STREET,"Addington, Christchurch",8024,2,1,1,112,64,2023,520,28/09/2023,25,FALSE,570000
19E CHATHAM STREET,"Addington, Christchurch",8024,2,2,1,117,68,2023,520,10/04/2023,7,FALSE,580000
24 CHURCH SQUARE,"Addington, Christchurch",8024,2,1,1,123,61,2021,515,19/01/2024,7,FALSE,560000
26 CHURCH SQUARE,"Addington, Christchurch",8024,2,2,1,78,81,2021,525,9/12/2023,7,FALSE,610000
42 CHURCH SQUARE,"Addington, Christchurch",8024,2,2,1,82,81,2021,535,9/01/2023,33,FALSE,560000
44 CHURCH SQUARE,"Addington, Christchurch",8024,2,2,1,82,81,2021,540,17/01/2024,7,FALSE,560000
45 CLARENCE STREET,"Addington, Christchurch",8024,2,1,1,511,90,1915,490,9/04/2023,7,FALSE,500000
11D CLARENCE STREET SOUTH,"Addington, Christchurch",8024,2,1,1,210,100,2013,520,29/01/2024,7,FALSE,500000
7 COLLINS STREET,"Addington, Christchurch",8024,2,1,1,506,94,1950,500,15/09/2023,7,FALSE,620000
24B COLLINS STREET,"Addington, Christchurch",8024,2,1,1,208,83,2000,570,5/05/2024,4,TRUE,580000
34 COTTERILL STREET,"Addington, Christchurch",8024,2,1,1,146,57,1980,420,22/01/2024,36,FALSE,390000
2/14 CROHANE PLACE,"Addington, Christchurch",8024,2,2,1,142,76,2023,530,15/12/2023,8,FALSE,620000
4/14 CROHANE PLACE,"Addington, Christchurch",8024,2,2,1,142,76,2023,540,2/05/2024,15,FALSE,620000
17C DICKENS STREET,"Addington, Christchurch",8024,2,2,1,122,90,2022,600,24/08/2023,7,FALSE,660000
2/20 DICKENS STREET,"Addington, Christchurch",8024,2,1,1,149,67,2021,500,11/02/2023,7,FALSE,690000
5/33 DICKENS STREET,"Addington, Christchurch",8024,2,1,1,118,75,2021,540,19/03/2024,7,FALSE,660000
1/42 DICKENS STREET,"Addington, Christchurch",8024,2,1,2,164,109,2020,495,30/11/2023,8,FALSE,640000
2/42 DICKENS STREET,"Addington, Christchurch",8024,2,1,2,135,112,2020,530,1/10/2024,7,FALSE,640000
4/43 DICKENS STREET,"Addington, Christchurch",8024,2,2,1,71,68,2023,550,3/09/2024,7,FALSE,580000
1/45 DICKENS STREET,"Addington, Christchurch",8024,2,2,1,73,70,2023,500,13/09/2023,37,FALSE,630000
2/45 DICKENS STREET,"Addington, Christchurch",8024,2,2,1,72,70,2023,500,18/09/2023,7,FALSE,630000
3/45 DICKENS STREET,"Addington, Christchurch",8024,2,2,1,72,70,2023,500,13/09/2023,37,FALSE,630000
4/45 DICKENS STREET,"Addington, Christchurch",8024,2,2,1,72,70,2023,500,13/09/2023,37,FALSE,630000
10/45 DICKENS STREET,"Addington, Christchurch",8024,2,2,1,73,70,2023,500,13/09/2023,37,FALSE,630000
11/45 DICKENS STREET,"Addington, Christchurch",8024,2,1,1,73,70,2023,485,23/10/2023,41,FALSE,630000
12/45 DICKENS STREET,"Addington, Christchurch",8024,2,2,1,73,70,2023,500,18/09/2023,7,FALSE,630000
13/45 DICKENS STREET,"Addington, Christchurch",8024,2,2,1,73,70,2023,500,25/09/2023,8,FALSE,630000
14/45 DICKENS STREET,"Addington, Christchurch",8024,2,2,1,73,70,2023,500,23/10/2023,36,FALSE,630000
76 DISRAELI STREET,"Addington, Christchurch",8024,2,1,2,511,110,1990,580,20/03/2024,7,FALSE,550000
3/29 FAIRFIELD AVENUE,"Addington, Christchurch",8024,2,1,1,511,90,1975,495,13/09/2023,7,FALSE,445000
5/33 FAIRFIELD AVENUE,"Addington, Christchurch",8024,2,1,1,511,60,1975,450,8/07/2023,7,FALSE,460000
36B FAIRFIELD AVENUE,"Addington, Christchurch",8024,2,1,1,209,101,2013,500,30/11/2023,7,FALSE,590000
