Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value
1/44 ANTIGUA STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,80,68,2023,550,1-Mar-24,7,FALSE,670000
3/44 ANTIGUA STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,61,68,2023,500,17-May-23,8,FALSE,650000
6/44 ANTIGUA STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,61,68,2023,515,9-Apr-24,55,FALSE,650000
1/91 ANTIGUA STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,2,-,72,2015,480,2-Aug-23,7,FALSE,490000
1/6 BARRIE STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,-,126,72,2021,500,21-Oct-23,7,FALSE,660000
4/6 BARRIE STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,-,72,71,2021,500,5-Dec-23,56,FALSE,650000
4/9 BARRIE STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,-,100,1975,430,2-Oct-23,7,FALSE,485000
1/21 BARRIE STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,-,95,1980,450,1-Jan-24,7,FALSE,465000
2/25 BARRIE STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,-,80,1975,460,10-Nov-23,7,FALSE,445000
6/71 BROUGHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,-,110,1990,470,4-Dec-23,7,FALSE,520000
5/91 BROUGHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,-,64,1970,420,27-Jan-24,7,FALSE,350000
3/100 BROUGHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,-,68,1970,420,5-Jul-23,7,FALSE,320000
2/101 BROUGHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,-,-,90,1975,450,20-May-23,7,FALSE,420000
1/109 BROUGHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,4,855,340,1974,430,29-Jul-23,7,FALSE,650000
3/109 BROUGHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,-,70,1975,390,22-Mar-24,7,FALSE,370000
10 BURKE STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,152,94,2023,600,19-Mar-24,7,FALSE,680000
6/12 BURKE STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,86,74,2023,520,29-Jul-23,8,FALSE,660000
81A BURKE STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,152,87,2010,520,18-Sep-23,7,FALSE,530000
37A CARDIGAN BAY PLACE,"ADDINGTON, CHRISTCHURCH",8024,2,1,2,-,130,1990,469,22-Mar-24,7,FALSE,570000
6 CHATHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,249,104,2013,495,12-May-23,7,FALSE,560000
2/9 CHATHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,97,68,2024,540,19-Mar-24,8,FALSE,590000
3/9 CHATHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,97,68,2024,540,13-Mar-24,8,FALSE,590000
4/9 CHATHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,97,68,2024,540,6-Mar-24,7,FALSE,590000
5/9 CHATHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,147,68,2024,545,6-Mar-24,7,FALSE,600000
19B CHATHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,112,64,2023,520,28-Sep-23,25,FALSE,570000
19E CHATHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,117,68,2023,520,4-Oct-23,7,FALSE,580000
24 CHURCH SQUARE,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,123,61,2021,515,19-Jan-24,7,FALSE,560000
26 CHURCH SQUARE,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,78,81,2021,525,12-Sep-23,7,FALSE,610000
42 CHURCH SQUARE,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,82,81,2021,535,1-Sep-23,33,FALSE,560000
44 CHURCH SQUARE,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,82,81,2021,540,17-Jan-24,7,FALSE,560000
45 CLARENCE STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,-,90,1915,490,4-Sep-23,7,FALSE,500000
11D CLARENCE STREET SOUTH,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,210,100,2013,520,29-Jan-24,7,FALSE,500000
7 COLLINS STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,506,94,1950,500,15-Sep-23,7,FALSE,620000
24B COLLINS STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,208,83,2000,570,5-May-24,4,TRUE,580000
34 COTTERILL STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,146,57,1980,420,22-Jan-24,36,FALSE,390000
2/14 CROHANE PLACE,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,142,76,2023,530,15-Dec-23,8,FALSE,620000
4/14 CROHANE PLACE,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,142,76,2023,540,5-Feb-24,15,FALSE,620000
17C DICKENS STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1,122,90,2022,600,24-Aug-23,7,FALSE,660000
2/20 DICKENS STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,149,67,2021,500,2-Nov-23,7,FALSE,690000
5/33 DICKENS STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1,118,75,2021,540,19-Mar-24,7,FALSE,660000
1/42 DICKENS STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,2,164,109,2020,495,30-Nov-23,8,FALSE,640000
2/42 DICKENS STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,2,135,112,2020,530,10-Jan-24,7,FALSE,640000
