Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value
9 CUFFS ROAD ,"WAINONI, CHRISTCHURCH",8061,3,1,2,"4,660",131,2016,"16,872",2-Nov-23,7,FALSE,"$1,450,000","$1,250,000"
679 GLOUCESTER STREET ,"LINWOOD, CHRISTCHURCH",8062,3,2,2,452,120,1910,900,28-Nov-24,25,TRUE,"$540,000","$205,000"
72A OTTAWA ROAD ,"WAINONI, CHRISTCHURCH",8061,3,2,2,455,180,2015,800,16-Jul-24,585,FALSE,"$590,000","$235,000"
9 TWYNHAM PLACE ,"ARANUI, CHRISTCHURCH",8061,4,2,1,607,184,1960,795,13-Nov-23,7,FALSE,"$570,000","$150,000"
9 LAKE TERRACE ROAD ,"BURWOOD, CHRISTCHURCH",8061,4,2,2,804,195,1908,780,20-Mar-24,7,FALSE,"$870,000","$300,000"
50A NORWICH STREET ,"LINWOOD, CHRISTCHURCH",8062,4,4,-,425,151,2014,760,29-Oct-23,64,FALSE,"$700,000","$250,000"
19 CARLSEN STREET ,"BURWOOD, CHRISTCHURCH",8083,4,2,2,809,158,1950,750,30-Nov-23,8,FALSE,"$740,000","$310,000"
7 LAUREL LANE ,"LINWOOD, CHRISTCHURCH",8011,4,2,2,524,182,2005,750,12-Mar-24,7,FALSE,"$780,000","$265,000"
21 COWES STREET ,"AVONDALE, CHRISTCHURCH",8061,5,2,2,576,160,1980,700,20-Sep-24,15,FALSE,"$630,000","$260,000"
691 WORCESTER STREET ,"LINWOOD, CHRISTCHURCH",8062,3,1,2,"1,012",332,2024,700,19-Jul-24,64,FALSE,"$1,640,000","$570,000"
39 CAITHNESS STREET ,"NEW BRIGHTON, CHRISTCHURCH",8083,4,1,2,483,157,2000,699,14-Aug-24,7,FALSE,"$710,000","$265,000"
86 AVONDALE ROAD ,"AVONDALE, CHRISTCHURCH",8061,3,2,2,607,109,2018,695,9-Mar-23,7,FALSE,"$610,000","$270,000"
311A NEW BRIGHTON ROAD ,"BURWOOD, CHRISTCHURCH",8083,4,1,2,607,220,1970,695,1-Jun-23,7,FALSE,"$730,000","$285,000"
177 TANCRED STREET ,"LINWOOD, CHRISTCHURCH",8062,4,1,1,663,113,1905,675,22-Jul-24,7,FALSE,"$570,000","$355,000"
139 WOODHAM ROAD ,"LINWOOD, CHRISTCHURCH",8062,4,2,1,668,170,1920,670,10-Sep-24,35,FALSE,"$600,000","$285,000"
71 CUFFS ROAD ,"WAINONI, CHRISTCHURCH",8061,4,2,2,749,190,2016,665,5-Apr-24,7,FALSE,"$660,000","$265,000"
109 CARISBROOKE STREET ,"ARANUI, CHRISTCHURCH",8061,4,2,2,721,140,1960,650,8-Oct-24,7,FALSE,"$550,000","$160,000"
56 PATTEN STREET ,"AVONSIDE, CHRISTCHURCH",8061,3,1,1,888,90,1950,650,9-May-24,7,FALSE,"$505,000","$300,000"
11 CARLSEN STREET ,"BURWOOD, CHRISTCHURCH",8083,3,1,1,370,101,2014,650,3-May-24,38,FALSE,"$580,000","$230,000"
17 PARNWELL STREET ,"BURWOOD, CHRISTCHURCH",8083,3,2,2,812,118,2014,650,14-May-24,7,FALSE,"$580,000","$295,000"
