Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (m²),Floor Size (m²),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value
30 HAUGHEY DRIVE ,"MAIREHAU, CHRISTCHURCH",8052,4,2,3,745,264,2022,"1,000",25-Jul-23,9,FALSE,"$1,090,000","$510,000"
9 TANU PLACE ,"PARKLANDS, CHRISTCHURCH",8083,4,3,2,725,269,2016,"1,000",19-Mar-24,7,FALSE,"$1,230,000","$385,000"
121 GEORGINA STREET ,"MARSHLAND, CHRISTCHURCH",8083,5,3,2,650,289,2021,950,16-Jan-24,7,FALSE,"$1,250,000","$465,000"
48 YELLOWSTONE CRESCENT ,"BURWOOD, CHRISTCHURCH",8083,4,3,2,604,210,1970,900,21-Nov-24,19,TRUE,"$880,000","$385,000"
49 HARRISON STREET ,"MAIREHAU, CHRISTCHURCH",8013,2,1,1,481,70,1950,900,10-Feb-24,7,FALSE,"$565,000","$340,000"
57 MCSAVENEYS ROAD ,"MARSHLAND, CHRISTCHURCH",8051,4,2,4,"16,100",300,2013,900,14-Apr-23,15,FALSE,"$2,500,000","$1,000,000"
16 TEAGARDEN CLOSE ,"MAIREHAU, CHRISTCHURCH",8052,5,2,2,941,296,2000,895,25-Sep-24,15,FALSE,"$1,040,000","$530,000"
181 WESTMINSTER STREET ,"MAIREHAU, CHRISTCHURCH",8013,5,3,2,994,167,2000,875,1-Nov-24,7,FALSE,"$950,000","$620,000"
146 NORTH PARADE ,"RICHMOND, CHRISTCHURCH",8013,4,3,2,809,250,2005,875,18-Oct-24,28,FALSE,"$1,310,000","$450,000"
14 CHANDLERS STREET ,"BURWOOD, CHRISTCHURCH",8083,3,2,2,437,174,2021,850,7-Nov-24,46,FALSE,"$890,000","$420,000"
132 LAKE TERRACE ROAD ,"BURWOOD, CHRISTCHURCH",8061,4,2,2,472,203,2005,850,27-Aug-24,7,FALSE,"$840,000","$380,000"
36 KELLYS ROAD ,"MAIREHAU, CHRISTCHURCH",8052,4,1,3,615,160,1960,850,7-Jul-24,34,FALSE,"$790,000","$370,000"
7 MILLPOND PLACE ,"PARKLANDS, CHRISTCHURCH",8083,4,2,2,649,221,2006,850,2-May-24,7,FALSE,"$1,120,000","$600,000"
2 POULTON AVENUE ,"RICHMOND, CHRISTCHURCH",8013,4,2,2,850,160,1910,850,9-Jun-24,7,FALSE,"$845,000","$420,000"
3 WILDHAWK PLACE ,"SHIRLEY, CHRISTCHURCH",8061,4,2,2,735,319,2000,850,11-Nov-24,29,TRUE,"$1,030,000","$410,000"
47 KATRINE DRIVE ,"BURWOOD, CHRISTCHURCH",8083,3,2,2,525,210,2022,840,10-Mar-23,7,FALSE,"$1,060,000","$440,000"
96 FLOCKTON STREET ,"MAIREHAU, CHRISTCHURCH",8013,4,2,1,657,158,1930,840,9-Dec-24,1,TRUE,"$820,000","$395,000"
47 FLOCKTON STREET ,"MAIREHAU, CHRISTCHURCH",8013,3,1,2,678,144,2024,830,9-May-24,16,FALSE,"$910,000","$395,000"
69 COOPERS ROAD ,"DALLINGTON, CHRISTCHURCH",8061,4,2,2,812,160,1940,820,9-Apr-24,7,FALSE,"$675,000","$270,000"
174 GEORGINA STREET ,"MARSHLAND, CHRISTCHURCH",8083,4,2,2,500,168,2021,820,3-Sep-24,7,FALSE,"$870,000","$420,000"
87 EDWARD AVENUE ,"EDGEWARE, CHRISTCHURCH",8013,4,2,2,536,161,1915,800,30-May-24,7,FALSE,"$820,000","$550,000"
123 FRANCIS AVENUE ,"MAIREHAU, CHRISTCHURCH",8013,4,2,2,690,160,1930,800,6-Oct-23,7,FALSE,"$900,000","$430,000"
474 INNES ROAD ,"MAIREHAU, CHRISTCHURCH",8052,4,3,2,493,252,2000,800,6-Dec-24,4,TRUE,"$880,000","$340,000"
1 DENNY STREET ,"MARSHLAND, CHRISTCHURCH",8083,4,2,2,610,243,2020,800,15-Aug-24,7,FALSE,"$1,130,000","$460,000"
17 ELLESMERE STREET ,"MARSHLAND, CHRISTCHURCH",8083,4,2,1,361,146,2024,800,1-Oct-24,7,FALSE,"$800,000","$410,000"
15 EVELYN CRESCENT ,"MARSHLAND, CHRISTCHURCH",8083,4,2,2,555,185,2020,800,20-Sep-23,7,FALSE,"$930,000","$440,000"
1 HOFFMAN STREET ,"MARSHLAND, CHRISTCHURCH",8083,4,2,2,577,230,2021,800,24-Mar-23,7,FALSE,"$1,310,000","$440,000"
18 MCKERROW STREET ,"MARSHLAND, CHRISTCHURCH",8083,4,2,2,490,217,2024,800,12-Aug-24,6,FALSE,"$1,030,000","$420,000"
65 METEHAU STREET ,"MARSHLAND, CHRISTCHURCH",8083,4,2,2,645,243,2014,800,12-Mar-24,2,FALSE,"$1,050,000","$540,000"
37 TE KEREME STREET ,"MARSHLAND, CHRISTCHURCH",8083,4,2,2,496,200,2016,800,23-Jul-24,7,FALSE,"$900,000","$460,000"
12 TIMARA CRESCENT ,"MARSHLAND, CHRISTCHURCH",8083,3,2,2,484,212,2024,800,9-Apr-24,7,FALSE,"$980,000","$420,000"
6 WANDLE STREET ,"MARSHLAND, CHRISTCHURCH",8083,4,2,2,487,208,2019,800,29-Jul-24,7,FALSE,"$980,000","$420,000"
9 LAKE TERRACE ROAD ,"BURWOOD, CHRISTCHURCH",8061,4,2,2,804,195,1908,780,20-Mar-24,7,FALSE,"$870,000","$300,000"
281A INNES ROAD ,"MAIREHAU, CHRISTCHURCH",8052,4,2,2,616,216,2015,780,8-May-24,7,FALSE,"$1,030,000","$360,000"
131 GEORGINA STREET ,"MARSHLAND, CHRISTCHURCH",8083,4,2,2,465,200,2020,780,5-Jul-24,7,FALSE,"$960,000","$420,000"
105 PETRIE STREET ,"RICHMOND, CHRISTCHURCH",8013,3,2,2,744,150,1930,780,25-Mar-23,7,FALSE,"$650,000","$300,000"
10 ALEXANDRINA STREET ,"MARSHLAND, CHRISTCHURCH",8083,4,2,2,803,227,2017,775,21-Apr-23,7,FALSE,"$1,130,000","$600,000"
209 WESTMINSTER STREET ,"MAIREHAU, CHRISTCHURCH",8013,4,2,1,756,164,1920,770,18-Dec-23,22,FALSE,"$880,000","$450,000"
