index,target_value,target_zscore,Bed_value,Bath_value,Car_value,Land Size (sqm)_value,Floor Size (sqm)_value,Year Built_value,Days on Market_value,Capital Value_value,Last Rental Price_value,Bed_zscore,Bath_zscore,Car_zscore,Land Size (sqm)_zscore,Floor Size (sqm)_zscore,Year Built_zscore,Days on Market_zscore,Capital Value_zscore,Last Rental Price_zscore
6,430.0,-1.3040333333333332,2,1,1.0,508.0,100.0,1975.0,7.0,485000,430.0,-0.6745,0.0,0.0,0.0,-0.44966666666666666,-0.11241666666666666,0.0,-1.01175,-1.3040333333333332
7,450.0,-1.1241666666666668,2,1,1.0,508.0,95.0,1980.0,7.0,465000,450.0,-0.6745,0.0,0.0,0.0,-0.5620833333333334,0.0,0.0,-1.1343863636363636,-1.1241666666666668
8,460.0,-1.0342333333333333,2,1,1.0,508.0,80.0,1975.0,7.0,445000,460.0,-0.6745,0.0,0.0,0.0,-0.8993333333333333,-0.11241666666666666,0.0,-1.2570227272727272,-1.0342333333333333
10,420.0,-1.3939666666666666,2,1,1.0,508.0,64.0,1970.0,7.0,350000,420.0,-0.6745,0.0,0.0,0.0,-1.2590666666666666,-0.22483333333333333,0.0,-1.8395454545454546,-1.3939666666666666
11,420.0,-1.3939666666666666,2,1,1.0,508.0,68.0,1970.0,7.0,320000,420.0,-0.6745,0.0,0.0,0.0,-1.1691333333333334,-0.22483333333333333,0.0,-2.0235,-1.3939666666666666
12,450.0,-1.1241666666666668,2,1,1.0,508.0,90.0,1975.0,7.0,420000,450.0,-0.6745,0.0,0.0,0.0,-0.6745,-0.11241666666666666,0.0,-1.4103181818181818,-1.1241666666666668
14,390.0,-1.6637666666666666,2,1,1.0,508.0,70.0,1975.0,7.0,370000,390.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.11241666666666666,0.0,-1.716909090909091,-1.6637666666666666
54,450.0,-1.1241666666666668,2,1,1.0,508.0,60.0,1975.0,7.0,460000,450.0,-0.6745,0.0,0.0,0.0,-1.349,-0.11241666666666666,0.0,-1.1650454545454545,-1.1241666666666668
67,430.0,-1.3040333333333332,2,1,1.0,508.0,60.0,1970.0,7.0,390000,430.0,-0.6745,0.0,0.0,0.0,-1.349,-0.22483333333333333,0.0,-1.5942727272727273,-1.3040333333333332
68,440.0,-1.2141,2,1,1.0,508.0,60.0,1970.0,7.0,380000,440.0,-0.6745,0.0,0.0,0.0,-1.349,-0.22483333333333333,0.0,-1.6555909090909091,-1.2141
81,450.0,-1.1241666666666668,2,1,1.0,508.0,90.0,1990.0,7.0,475000,450.0,-0.6745,0.0,0.0,0.0,-0.6745,0.22483333333333333,0.0,-1.0730681818181818,-1.1241666666666668
106,390.0,-1.6637666666666666,2,1,1.0,508.0,70.0,1980.0,7.0,440000,390.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,0.0,0.0,-1.2876818181818181,-1.6637666666666666
116,420.0,-1.3939666666666666,2,1,1.0,508.0,55.0,1960.0,7.0,365000,420.0,-0.6745,0.0,0.0,0.0,-1.4614166666666668,-0.44966666666666666,0.0,-1.7475681818181819,-1.3939666666666666
121,460.0,-1.0342333333333333,2,1,1.0,508.0,70.0,1970.0,7.0,470000,460.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.22483333333333333,0.0,-1.1037272727272727,-1.0342333333333333
127,450.0,-1.1241666666666668,2,1,1.0,101.0,60.0,2022.0,7.0,550000,450.0,-0.6745,0.0,0.0,-2.565621495327103,-1.349,0.9443,0.0,-0.6131818181818182,-1.1241666666666668
132,450.0,-1.1241666666666668,2,1,1.0,508.0,100.0,1995.0,7.0,455000,450.0,-0.6745,0.0,0.0,0.0,-0.44966666666666666,0.33725,0.0,-1.1957045454545454,-1.1241666666666668
139,380.0,-1.7537,2,1,1.0,508.0,70.0,1960.0,7.0,340000,380.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.44966666666666666,0.0,-1.9008636363636364,-1.7537
141,440.0,-1.2141,2,1,1.0,508.0,100.0,1990.0,7.0,530000,440.0,-0.6745,0.0,0.0,0.0,-0.44966666666666666,0.22483333333333333,0.0,-0.7358181818181818,-1.2141
160,450.0,-1.1241666666666668,2,1,1.0,508.0,114.0,1970.0,7.0,560000,450.0,-0.6745,0.0,0.0,0.0,-0.1349,-0.22483333333333333,0.0,-0.5518636363636363,-1.1241666666666668
172,400.0,-1.5738333333333332,2,1,1.0,508.0,150.0,1980.0,7.0,520000,400.0,-0.6745,0.0,0.0,0.0,0.6745,0.0,0.0,-0.7971363636363636,-1.5738333333333332
175,420.0,-1.3939666666666666,2,1,1.0,508.0,120.0,1970.0,7.0,180000,420.0,-0.6745,0.0,0.0,0.0,0.0,-0.22483333333333333,0.0,-2.8819545454545454,-1.3939666666666666
180,445.0,-1.1691333333333334,2,1,1.0,508.0,70.0,1960.0,7.0,510000,445.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.44966666666666666,0.0,-0.8584545454545455,-1.1691333333333334
185,430.0,-1.3040333333333332,2,1,1.0,508.0,110.0,1970.0,7.0,435000,430.0,-0.6745,0.0,0.0,0.0,-0.22483333333333333,-0.22483333333333333,0.0,-1.318340909090909,-1.3040333333333332
198,320.0,-2.2933,2,1,1.0,508.0,60.0,1975.0,7.0,400000,320.0,-0.6745,0.0,0.0,0.0,-1.349,-0.11241666666666666,0.0,-1.5329545454545455,-2.2933
216,410.0,-1.4839,2,1,1.0,508.0,80.0,1940.0,7.0,480000,410.0,-0.6745,0.0,0.0,0.0,-0.8993333333333333,-0.8993333333333333,0.0,-1.0424090909090908,-1.4839
218,420.0,-1.3939666666666666,2,1,1.0,607.0,81.0,1950.0,7.0,530000,420.0,-0.6745,0.0,0.0,0.6240700934579438,-0.8768499999999999,-0.6745,0.0,-0.7358181818181818,-1.3939666666666666
219,450.0,-1.1241666666666668,2,1,1.0,508.0,100.0,1960.0,7.0,495000,450.0,-0.6745,0.0,0.0,0.0,-0.44966666666666666,-0.44966666666666666,0.0,-0.9504318181818182,-1.1241666666666668
223,460.0,-1.0342333333333333,2,1,1.0,508.0,90.0,1970.0,7.0,570000,460.0,-0.6745,0.0,0.0,0.0,-0.6745,-0.22483333333333333,0.0,-0.49054545454545456,-1.0342333333333333
229,410.0,-1.4839,2,1,1.0,508.0,140.0,1980.0,7.0,470000,410.0,-0.6745,0.0,0.0,0.0,0.44966666666666666,0.0,0.0,-1.1037272727272727,-1.4839
262,410.0,-1.4839,2,1,1.0,746.0,73.0,1940.0,7.0,435000,410.0,-0.6745,0.0,0.0,1.5002897196261682,-1.0567166666666667,-0.8993333333333333,0.0,-1.318340909090909,-1.4839
271,755.0,1.6188,2,1,1.0,508.0,80.0,1990.0,7.0,670000,755.0,-0.6745,0.0,0.0,0.0,-0.8993333333333333,0.22483333333333333,0.0,0.12263636363636364,1.6188
273,695.0,1.0792,2,1,1.0,799.0,120.0,1950.0,7.0,1030000,695.0,-0.6745,0.0,0.0,1.8343878504672895,0.0,-0.6745,0.0,2.330090909090909,1.0792
284,950.0,3.3725,2,1,1.0,508.0,103.0,1920.0,7.0,1000000,950.0,-0.6745,0.0,0.0,0.0,-0.38221666666666665,-1.349,0.0,2.1461363636363635,3.3725
285,390.0,-1.6637666666666666,2,1,1.0,508.0,100.0,1975.0,7.0,520000,390.0,-0.6745,0.0,0.0,0.0,-0.44966666666666666,-0.11241666666666666,0.0,-0.7971363636363636,-1.6637666666666666
