Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (sqm),Floor Size (sqm),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Percentage_Diff,Quarterly Period
1/368 HEREFORD STREET ,"LINWOOD, CHRISTCHURCH",8011,3,2,2.0,203.0,160.0,2020.0,645.0,2023-05-09,7.0,False,720000,0.0,2023Q2
10 CUNLIFFE ROAD ,"REDWOOD, CHRISTCHURCH",8051,3,1,2.0,511.0,100.0,1985.0,530.0,2023-05-09,7.0,False,590000,0.0,2023Q2
5A REX STREET ,"RICCARTON, CHRISTCHURCH",8041,3,2,2.0,191.0,164.0,2012.0,620.0,2023-05-09,22.0,False,720000,0.0,2023Q2
56 GRAMPIAN STREET ,"CASEBROOK, CHRISTCHURCH",8051,3,1,1.0,880.0,120.0,1980.0,575.0,2023-05-09,7.0,False,650000,-3.765690376569038,2023Q2
8 BALL LANE ,"REDCLIFFS, CHRISTCHURCH",8081,3,1,2.0,862.0,170.0,1990.0,615.0,2023-05-09,41.0,False,750000,0.0,2023Q2
1/16 PEEBLES DRIVE ,"HEI HEI, CHRISTCHURCH",8042,3,1,1.0,508.0,110.0,1985.0,550.0,2023-05-09,7.0,False,560000,-3.361344537815126,2023Q2
44 MACKENZIE AVENUE ,"WOOLSTON, CHRISTCHURCH",8023,3,1,2.0,622.0,110.0,1910.0,500.0,2023-05-09,7.0,False,690000,-4.3478260869565215,2023Q2
1/262 LYTTELTON STREET,"SPREYDON, CHRISTCHURCH",8024,2,1,1.0,153.0,83.0,2020.0,500.0,2023-05-09,7.0,False,610000,0.0,2023Q2
13 FORGE CLOSE ,"HALSWELL, CHRISTCHURCH",8025,3,2,2.0,588.0,190.0,2021.0,690.0,2023-05-09,7.0,False,990000,-7.563025210084033,2023Q2
94 LANDSDOWNE TERRACE ,"CASHMERE, CHRISTCHURCH",8022,4,2,2.0,774.0,280.0,1970.0,350.0,2023-05-09,7.0,False,890000,0.0,2023Q2
7 NYOLI STREET ,"NORTHCOTE, CHRISTCHURCH",8052,3,1,1.0,627.0,110.0,1955.0,540.0,2023-05-09,7.0,False,570000,-6.086956521739131,2023Q2
60 NOTTINGHAM AVENUE ,"HALSWELL, CHRISTCHURCH",8025,4,1,2.0,880.0,134.0,1960.0,650.0,2023-05-09,7.0,False,660000,0.0,2023Q2
116 BOWER AVENUE ,"NEW BRIGHTON, CHRISTCHURCH",8083,3,1,1.0,506.0,80.0,1950.0,500.0,2023-05-09,7.0,False,440000,-4.0,2023Q2
403 PAPANUI ROAD ,"STROWAN, CHRISTCHURCH",8052,3,1,3.0,837.0,250.0,1980.0,570.0,2023-05-09,7.0,False,650000,-5.263157894736842,2023Q2
2/125 PAPANUI ROAD,"MERIVALE, CHRISTCHURCH",8014,2,1,1.0,103.0,82.0,2021.0,560.0,2023-05-09,7.0,False,750000,0.0,2023Q2
2/104 RUSKIN STREET,"ADDINGTON, CHRISTCHURCH",8024,2,2,1.0,64.0,68.0,2023.0,510.0,2023-05-09,11.0,False,650000,0.0,2023Q2
6 SEQUEL ROAD ,"HALSWELL, CHRISTCHURCH",8025,4,2,2.0,450.0,176.0,2023.0,700.0,2023-05-09,7.0,False,860000,0.0,2023Q2
3/7 ROTHERHAM STREET,"RICCARTON, CHRISTCHURCH",8041,2,1,1.0,508.0,91.0,1970.0,480.0,2023-05-09,7.0,False,495000,0.9900990099009901,2023Q2
26 GIBBON STREET ,"SYDENHAM, CHRISTCHURCH",8023,3,1,2.0,430.0,107.0,1890.0,590.0,2023-05-09,46.0,False,860000,-0.43668122270742354,2023Q2
113D CLARENCE STREET ,"RICCARTON, CHRISTCHURCH",8011,3,1,1.0,183.0,139.0,2005.0,500.0,2023-05-09,7.0,False,650000,1.7857142857142856,2023Q2
487 GLOUCESTER STREET ,"LINWOOD, CHRISTCHURCH",8011,4,2,1.0,508.0,180.0,1915.0,575.0,2023-05-09,58.0,False,840000,6.122448979591836,2023Q2
27 THE BRAE ,"MOUNT PLEASANT, CHRISTCHURCH",8081,3,2,3.0,422.0,160.0,1975.0,900.0,2023-05-10,7.0,False,900000,3.056768558951965,2023Q2
63 RUTHERFORD STREET ,"WOOLSTON, CHRISTCHURCH",8023,3,1,2.0,486.0,110.0,1910.0,480.0,2023-05-10,7.0,False,325000,-10.714285714285714,2023Q2
7A PROCTOR STREET ,"PAPANUI, CHRISTCHURCH",8053,3,2,2.0,323.0,144.0,2019.0,750.0,2023-05-10,953.0,False,850000,33.92857142857143,2023Q2
11/28 TARAMEA PLACE,"ADDINGTON, CHRISTCHURCH",8024,2,1,1.0,508.0,74.0,1970.0,450.0,2023-05-10,12.0,False,360000,-4.0,2023Q2
