Last Rental Date,Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (sqm),Floor Size (sqm),Year Built,Last Rental Price,Days on Market,Active Listing,Capital Value,Land Value,Dollar_Volume,Volume,VWAP_3M,VWAP_12M,Volume_all,Rolling_PV_3M_all,Rolling_V_3M_all,Rolling_PV_12M_all,Rolling_V_12M_all,VWAP_3M_all,VWAP_12M_all,Percentage_Diff,Percentage_Diff_all,Rolling_Median_1M_all,Rolling_Median_12M_all
2023-09-27,158F EDGEWARE ROAD ,"EDGEWARE, CHRISTCHURCH",8013,3.0,1,2.0,218.0,130.0,1990.0,520.0,9,False,280000.0,255000.0,520.0,520.0,622.5485929794024,622.5485929794024,520.0,23659377.0,39313.0,23659377.0,39313.0,602.9174593354471,602.9174593354471,0.0,0.0,562.5,555.0
2023-09-27,4/66 CLEVELAND STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,2,1.0,72.0,75.0,2023.0,550.0,21,False,555000.0,205000.0,550.0,550.0,521.5679834202098,521.5679834202098,550.0,23961877.0,39863.0,23961877.0,39863.0,601.8206954442551,601.8206954442551,0.0,0.0,550.0,550.0
2023-09-28,44 DEE STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,90.0,1975.0,450.0,7,False,510000.0,285000.0,450.0,450.0,522.5172706853639,522.5172706853639,450.0,24164377.0,40313.0,24164377.0,40313.0,601.1057120638186,601.1057120638186,0.0,0.0,550.0,550.0
2023-10-01,100 EDWARD AVENUE ,"EDGEWARE, CHRISTCHURCH",8013,3.0,1,2.0,782.0,120.0,1930.0,665.0,9,False,820000.0,710000.0,665.0,665.0,619.5451985356237,619.5451985356237,665.0,24361577.0,40483.0,24606602.0,40978.0,599.4189715476397,599.4189715476397,0.0,0.0,575.0,550.0
2023-10-02,29 ALLARD STREET ,"EDGEWARE, CHRISTCHURCH",8013,3.0,1,2.0,711.0,95.0,1920.0,520.0,7,False,660000.0,600000.0,520.0,520.0,621.186210640608,621.186210640608,520.0,24318377.0,40443.0,24877002.0,41498.0,601.7730158338068,600.4832349065352,0.0,0.21479049743533232,562.5,550.0
2023-10-02,105 BISHOP STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,2,2.0,176.0,142.0,2000.0,680.0,7,False,750000.0,335000.0,680.0,680.0,618.4081309398099,618.4081309398099,680.0,24780777.0,41123.0,25339402.0,42178.0,601.3000271987736,599.4747216733336,0.0,0.30448415245014976,575.0,550.0
2023-10-02,545 BARBADOES STREET ,"EDGEWARE, CHRISTCHURCH",8013,3.0,2,2.0,200.0,143.0,2000.0,580.0,14,False,680000.0,390000.0,580.0,580.0,620.5428134556574,620.5428134556574,580.0,25117177.0,41703.0,25675802.0,42758.0,602.6013909491039,600.772962207786,0.0,0.3043460435700365,577.5,555.0
2023-10-03,5 ALLARD STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,1,2.0,218.0,84.0,2016.0,500.0,7,False,610000.0,180000.0,500.0,500.0,520.5889617680081,520.5889617680081,500.0,24809877.0,41153.0,25925802.0,43258.0,602.287053689183,600.4911829365265,0.0,0.29906696445972825,575.0,550.0
2023-10-04,40 BERWICK STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,2.0,310.0,150.0,1990.0,630.0,7,False,810000.0,335000.0,630.0,630.0,619.3787128712871,619.3787128712871,630.0,25379602.0,42208.0,26905127.0,44953.0,601.4567719929888,598.0693319495522,0.0,0.5663958779485412,580.0,555.0
2023-10-04,4/30 EVERSLEIGH STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,2,2.0,256.0,165.0,2007.0,750.0,54,False,880000.0,430000.0,750.0,750.0,620.2116267210607,619.6999519923188,750.0,26094202.0,43348.0,27619727.0,46093.0,599.3638668482089,596.7233531085283,0.08256814077472531,0.442502162170344,582.5,560.0
2023-10-05,3/542 MADRAS STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,2,2.0,314.0,127.0,2010.0,550.0,7,False,680000.0,360000.0,550.0,550.0,624.9926326129666,624.2284522706209,550.0,26083102.0,43338.0,27922227.0,46643.0,601.970148565101,599.2173865879852,0.1224199793466734,0.4593928745609965,577.5,555.0
2023-10-05,1/18 GORDON AVENUE ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,70.0,1960.0,440.0,32,False,530000.0,345000.0,440.0,440.0,520.8455151591395,519.9981059519026,440.0,26276702.0,43778.0,28115827.0,47083.0,601.8529235313121,598.637030208177,0.16296390266376204,0.5372025385761341,575.0,550.0
2023-10-06,2/542 MADRAS STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,2,2.0,253.0,127.0,2010.0,550.0,7,False,670000.0,340000.0,550.0,550.0,624.7542997542997,622.3836421147763,550.0,26579202.0,44328.0,28418327.0,47633.0,600.2261866691032,597.1545356073317,0.38089973436130775,0.5143812662575676,562.5,550.0
2023-10-09,116A CRANFORD STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,3.0,218.0,135.0,1950.0,650.0,7,False,800000.0,620000.0,650.0,650.0,622.7870813397129,620.6283068783068,650.0,27563302.0,45698.0,29683327.0,49533.0,602.4862812999468,598.5890186772498,0.3478369319415188,0.6510748612310128,550.0,550.0
2023-10-09,46 BERWICK STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,300.0,121.0,2016.0,600.0,7,False,725000.0,335000.0,600.0,600.0,625.9681255946717,621.4466352336048,600.0,27923302.0,46298.0,30043327.0,50133.0,603.1621077508862,599.2636626087659,0.7275750007669333,0.6505392176040259,550.0,555.0
2023-10-10,23 PASCOE AVENUE ,"MAIREHAU, CHRISTCHURCH",8013,3.0,1,1.0,766.0,113.0,1930.0,550.0,7,False,690000.0,420000.0,550.0,550.0,625.2474560592044,620.9089009611366,550.0,28419402.0,47288.0,30539427.0,51123.0,601.5854764859429,597.8867577561149,0.6987426160829576,0.6186319870520931,550.0,550.0
2023-10-10,47 BERRY STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,90.0,1960.0,440.0,7,False,480000.0,315000.0,440.0,440.0,518.6682580487208,518.0275989475452,440.0,28116902.0,46738.0,30236927.0,50573.0,603.121128342477,599.2724752159256,0.12367277389797675,0.6422209071365587,550.0,550.0
2023-10-11,3/129 CHAMPION STREET ,"EDGEWARE, CHRISTCHURCH",8013,2.0,1,1.0,218.0,90.0,1970.0,480.0,7,False,375000.0,170000.0,480.0,480.0,516.6051972821552,516.1518330328362,480.0,27564802.0,45968.0,30769827.0,51603.0,600.9854931483675,597.3715744381199,0.08783544304302096,0.604969982652225,550.0,550.0
2023-10-12,1/33 RANFURLY STREET ,"ST ALBANS, CHRISTCHURCH",8014,2.0,1,1.0,218.0,90.0,1950.0,450.0,7,False,570000.0,450000.0,450.0,450.0,514.4542734019632,515.227972102433,450.0,27304902.0,45738.0,30972327.0,52053.0,599.6519752871562,596.279809313412,-0.15016628412325453,0.5655341537770892,550.0,550.0
2023-10-13,7/38 EVERSLEIGH STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,218.0,110.0,1990.0,470.0,7,False,620000.0,340000.0,470.0,470.0,623.380694632386,619.3157679738562,470.0,27791027.0,46723.0,31458452.0,53038.0,596.0721899120057,594.2313194338761,0.6563576883935371,0.3097902143366226,550.0,550.0
2023-10-16,40 DOVER STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,2,2.0,218.0,148.0,2005.0,650.0,25,False,860000.0,395000.0,650.0,650.0,617.3791647114031,616.503006012024,650.0,28354602.0,47468.0,32505052.0,54478.0,598.0495232883632,596.0197666641897,0.142117506457377,0.3405518973865022,550.0,550.0
