Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (sqm),Floor Size (sqm),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value,Z_Tgt,Z_Bath,Z_Car,Z_Land Size (sqm),Z_Floor Size (sqm),Z_Year Built,Z_Days on Market,Z_Capital Value,Z_Last Rental Price
95 HOLLY ROAD ,"ST ALBANS, CHRISTCHURCH",8014,4.0,3,2.0,412.0,340.0,1995.0,1680.0,2023-11-08,22,False,1840000.0,640000.0,4.226129508196721,674500000.0,0.0,-0.2367235576923077,4.77546,0.4215625,10117500000.0,3.9626875,4.226129508196721
77 RUTLAND STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,733.0,155.0,1905.0,1200.0,2024-01-25,7,False,1800000.0,670000.0,2.1031131147540982,0.0,0.0,0.8042115384615385,-0.21584,-1.0960625,0.0,3.7940625,2.1031131147540982
448 MANCHESTER STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,2.0,218.0,182.0,1910.0,1100.0,2024-10-29,7,False,1550000.0,1430000.0,6.070499999999999,0.0,674500000.0,0.0,2.4188965517241376,-3.03525,0.0,5.995555555555556,6.070499999999999
24 WESTMINSTER STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,445.0,183.0,1925.0,1050.0,2024-03-19,22,False,1190000.0,590000.0,1.4396704918032786,0.0,0.0,-0.12971153846153846,0.5396,-0.7588125,10117500000.0,1.22253125,1.4396704918032786
18/27 CORNWALL STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,218.0,137.0,2016.0,1000.0,2024-11-26,7,False,820000.0,240000.0,1.218522950819672,0.0,0.0,-0.8658245192307692,-0.70148,0.775675,0.0,-0.33725,1.218522950819672
51 FORFAR STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,237.0,189.0,2021.0,1000.0,2024-07-16,90,False,930000.0,325000.0,1.218522950819672,0.0,0.0,-0.8042115384615385,0.70148,0.8599874999999999,55983499999.99999,0.12646875,1.218522950819672
30 BROWNS ROAD ,"ST ALBANS, CHRISTCHURCH",8014,4.0,1,2.0,218.0,220.0,1920.0,995.0,2023-08-16,35,False,1800000.0,1430000.0,1.1964081967213114,-674500000.0,0.0,-0.8658245192307692,1.53786,-0.843125,18885999999.999996,3.7940625,1.1964081967213114
73B SHERBORNE STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,194.0,170.0,2000.0,990.0,2024-08-23,33,False,940000.0,300000.0,1.1742934426229508,0.0,0.0,-0.9436514423076923,0.18886,0.505875,17536999999.999996,0.168625,1.1742934426229508
135 CALEDONIAN ROAD ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,534.0,150.0,1925.0,975.0,2024-04-29,4,False,810000.0,660000.0,4.38425,0.0,0.0,3.806107142857143,0.930344827586207,-2.529375,-2023499999.9999998,0.44966666666666666,4.38425
28 RANFURLY STREET ,"ST ALBANS, CHRISTCHURCH",8014,3.0,2,2.0,715.0,160.0,1905.0,950.0,2024-11-17,7,False,1280000.0,1050000.0,4.047,674500000.0,674500000.0,5.9861875,1.3955172413793102,-3.203875,0.0,3.9720555555555555,4.047
82 SPRINGFIELD ROAD ,"ST ALBANS, CHRISTCHURCH",8014,4.0,3,4.0,712.0,240.0,2013.0,900.0,2024-05-21,7,False,1350000.0,1010000.0,0.776227868852459,674500000.0,1349000000.0,0.7361129807692308,2.0774600000000003,0.7250875,0.0,1.89703125,0.776227868852459
108B RANFURLY STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,401.0,226.0,2005.0,895.0,2024-11-29,7,False,1070000.0,600000.0,0.7541131147540984,0.0,0.0,-0.27239423076923075,1.6997399999999998,0.5901875,0.0,0.71665625,0.7541131147540984
9 SEVERN STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,850.0,270.0,2016.0,895.0,2024-11-26,7,False,1360000.0,510000.0,0.7541131147540984,0.0,0.0,1.1836177884615384,2.88686,0.775675,0.0,1.9391875,0.7541131147540984
