Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (sqm),Floor Size (sqm),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Land Value,Z_Last Rental Price,Z_Bath,Z_Car,Z_Land Size (sqm),Z_Floor Size (sqm),Z_Year Built,Z_Days on Market,Z_Capital Value
24 WESTMINSTER STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,445.0,183.0,1925.0,1050.0,2024-03-19,22,False,1190000.0,590000.0,1.4838999999999998,0.0,0.0,-0.03017897091722595,0.51262,-0.8215064102564102,10117500000.0,1.3040333333333334
18/27 CORNWALL STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,218.0,137.0,2016.0,1000.0,2024-11-26,7,False,820000.0,240000.0,1.2141,0.0,0.0,-0.7152416107382551,-0.72846,0.7523269230769231,0.0,-0.35973333333333335
51 FORFAR STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,237.0,189.0,2021.0,1000.0,2024-07-16,90,False,930000.0,325000.0,1.2141,0.0,0.0,-0.6579015659955257,0.6745,0.8388012820512821,55983499999.99999,0.1349
30 BROWNS ROAD ,"ST ALBANS, CHRISTCHURCH",8014,4.0,1,2.0,218.0,220.0,1920.0,995.0,2023-08-16,35,False,1800000.0,1430000.0,1.18712,-674500000.0,0.0,-0.7152416107382551,1.51088,-0.9079807692307693,18885999999.999996,4.047
73B SHERBORNE STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,194.0,170.0,2000.0,990.0,2024-08-23,33,False,940000.0,300000.0,1.16014,0.0,0.0,-0.7876711409395973,0.16188,0.4756089743589743,17536999999.999996,0.17986666666666667
135 CALEDONIAN ROAD ,"ST ALBANS, CHRISTCHURCH",8014,3.0,1,1.0,534.0,150.0,1925.0,975.0,2024-04-29,4,False,810000.0,660000.0,4.38425,0.0,0.0,3.806107142857143,0.9635714285714286,-2.529375,-2023499999.9999998,0.44966666666666666
82 SPRINGFIELD ROAD ,"ST ALBANS, CHRISTCHURCH",8014,4.0,3,4.0,712.0,240.0,2013.0,900.0,2024-05-21,7,False,1350000.0,1010000.0,0.6745,674500000.0,1349000000.0,0.7755995525727069,2.05048,0.7004423076923076,0.0,2.0235
108B RANFURLY STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,401.0,226.0,2005.0,895.0,2024-11-29,7,False,1070000.0,600000.0,0.64752,0.0,0.0,-0.16296644295302015,1.67276,0.5620833333333334,0.0,0.7644333333333333
9 SEVERN STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,850.0,270.0,2016.0,895.0,2024-11-26,7,False,1360000.0,510000.0,0.64752,0.0,0.0,1.192069351230425,2.85988,0.7523269230769231,0.0,2.0684666666666667
181 WESTMINSTER STREET ,"MAIREHAU, CHRISTCHURCH",8013,5.0,3,2.0,994.0,167.0,2000.0,875.0,2024-11-01,7,False,950000.0,620000.0,1.6005084745762712,1.349,-0.6745,0.8193079096045197,-0.9161958333333333,0.44966666666666666,0.0,0.07843023255813954
84 TRAFALGAR STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,645.0,209.0,2012.0,875.0,2023-09-08,7,False,1400000.0,630000.0,0.5396,0.0,0.0,0.5734004474272931,1.2141,0.6831474358974359,0.0,2.2483333333333335
128A HOLLY ROAD ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,352.0,214.0,2008.0,865.0,2023-09-12,7,False,1250000.0,580000.0,0.48563999999999996,0.0,0.0,-0.3108434004474273,1.349,0.6139679487179487,0.0,1.5738333333333334
998B COLOMBO STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,208.0,186.0,2008.0,850.0,2023-12-06,8,False,920000.0,400000.0,0.4047,0.0,0.0,-0.745420581655481,0.59356,0.6139679487179487,674500000.0,0.08993333333333334
998D COLOMBO STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,3.0,302.0,192.0,2008.0,850.0,2024-10-02,7,False,970000.0,530000.0,0.4047,0.0,674500000.0,-0.46173825503355703,0.75544,0.6139679487179487,0.0,0.31476666666666664
49 FORFAR STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,237.0,188.0,2021.0,850.0,2024-10-07,25,False,930000.0,325000.0,0.4047,0.0,0.0,-0.6579015659955257,0.64752,0.8388012820512821,12141000000.0,0.1349
26 ROOSEVELT AVENUE ,"ST ALBANS, CHRISTCHURCH",8014,4.0,1,1.0,840.0,150.0,1935.0,850.0,2023-12-11,7,False,1090000.0,740000.0,0.4047,-674500000.0,-674500000.0,1.161890380313199,-0.37772,-0.6485576923076923,0.0,0.8543666666666667
112 WESTMINSTER STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,1,1.0,637.0,132.0,1910.0,850.0,2023-09-21,7,False,1190000.0,445000.0,0.4047,-674500000.0,-674500000.0,0.5492572706935123,-0.86336,-1.0809294871794872,0.0,1.3040333333333334
96 FLOCKTON STREET ,"MAIREHAU, CHRISTCHURCH",8013,4.0,2,1.0,657.0,158.0,1930.0,840.0,2024-12-09,25,True,820000.0,395000.0,0.35074,0.0,-674500000.0,0.6096152125279641,-0.16188,-0.7350320512820512,12141000000.0,-0.35973333333333335
544A MADRAS STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,318.0,182.0,2016.0,840.0,2023-10-24,7,False,840000.0,420000.0,0.35074,0.0,0.0,-0.4134519015659955,0.48564,0.7523269230769231,0.0,-0.2698
213 CRANFORD STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,650.0,155.0,1930.0,830.0,2024-03-29,7,False,860000.0,395000.0,0.29678,0.0,0.0,0.588489932885906,-0.24282,-0.7350320512820512,0.0,-0.17986666666666667
231 SPRINGFIELD ROAD ,"ST ALBANS, CHRISTCHURCH",8014,4.0,1,1.0,506.0,162.0,1935.0,820.0,2024-10-14,7,False,960000.0,560000.0,0.24281999999999998,-674500000.0,-674500000.0,0.15391275167785234,-0.05396,-0.6485576923076923,0.0,0.2698
87 EDWARD AVENUE ,"EDGEWARE, CHRISTCHURCH",8013,4.0,2,2.0,536.0,161.0,1915.0,800.0,2024-05-30,7,False,820000.0,550000.0,0.1349,0.0,0.0,0.24444966442953017,-0.08094,-0.9944551282051282,0.0,-0.35973333333333335
10 HENDON STREET ,"EDGEWARE, CHRISTCHURCH",8013,4.0,2,2.0,696.0,196.0,2000.0,800.0,2024-08-23,7,False,900000.0,540000.0,0.1349,0.0,0.0,0.7273131991051454,0.86336,0.4756089743589743,0.0,0.0
123 FRANCIS AVENUE ,"MAIREHAU, CHRISTCHURCH",8013,4.0,2,2.0,690.0,160.0,1930.0,800.0,2023-10-06,7,False,900000.0,430000.0,0.1349,0.0,0.0,0.7092058165548099,-0.10792,-0.7350320512820512,0.0,0.0
2 MERSEY STREET ,"ST ALBANS, CHRISTCHURCH",8014,4.0,2,2.0,546.0,190.0,1925.0,800.0,2024-11-29,7,False,990000.0,420000.0,0.1349,0.0,0.0,0.27462863534675613,0.70148,-0.8215064102564102,0.0,0.4047
