Index,Bed,zRent,zCapVal,isRemoved,Land Size (sqm)_val,Land Size (sqm)_z,Floor Size (sqm)_val,Floor Size (sqm)_z,Year Built_val,Year Built_z,Capital Value_val,Capital Value_z,Last Rental Price_val,Last Rental Price_z
0,4.0,4.226129508196721,3.9626875,False,412.0,-0.2367235576923077,340.0,4.77546,1995.0,0.4215625,1840000.0,3.9626875,1680.0,4.226129508196721
1,3.0,7.419499999999999,2.398222222222222,True,337.0,1.349,212.0,3.6872666666666665,2018.0,0.60705,1070000.0,2.398222222222222,1200.0,7.419499999999999
2,4.0,2.1031131147540982,3.7940625,False,733.0,0.8042115384615385,155.0,-0.21584,1905.0,-1.0960625,1800000.0,3.7940625,1200.0,2.1031131147540982
4,3.0,6.070499999999999,5.995555555555556,False,218.0,0.0,182.0,2.3382666666666667,1910.0,-3.03525,1550000.0,5.995555555555556,1100.0,6.070499999999999
5,4.0,1.4396704918032786,1.22253125,False,445.0,-0.12971153846153846,183.0,0.5396,1925.0,-0.7588125,1190000.0,1.22253125,1050.0,1.4396704918032786
6,4.0,1.218522950819672,-0.33725,False,218.0,-0.8658245192307692,137.0,-0.70148,2016.0,0.775675,820000.0,-0.33725,1000.0,1.218522950819672
7,4.0,1.218522950819672,0.12646875,False,237.0,-0.8042115384615385,189.0,0.70148,2021.0,0.8599874999999999,930000.0,0.12646875,1000.0,1.218522950819672
8,4.0,1.1964081967213114,3.7940625,False,218.0,-0.8658245192307692,220.0,1.53786,1920.0,-0.843125,1800000.0,3.7940625,995.0,1.1964081967213114
9,4.0,1.1742934426229508,0.168625,False,194.0,-0.9436514423076923,170.0,0.18886,2000.0,0.505875,940000.0,0.168625,990.0,1.1742934426229508
10,3.0,4.38425,0.44966666666666666,True,534.0,3.582218487394958,150.0,0.8993333333333333,1925.0,-2.529375,810000.0,0.44966666666666666,975.0,4.38425
11,3.0,4.047,3.9720555555555555,False,715.0,5.634058823529411,160.0,1.349,1905.0,-3.203875,1280000.0,3.9720555555555555,950.0,4.047
12,3.0,3.9120999999999997,1.4239444444444445,True,224.0,0.06801680672268907,170.0,1.7986666666666666,2000.0,0.0,940000.0,1.4239444444444445,940.0,3.9120999999999997
